fit_time,score_time,test_mae,test_mse,test_distance,test_r2
307.0739948749542,95.5033278465271,2533537.124691014,9776278390466.895,2050606.6855011503,-2060960947.022885
308.3832423686981,95.7825870513916,2474422.728769349,9484278680433.352,2002760.3865658091,-2140174469.1879241
307.6325614452362,96.1441261768341,2473667.1222000895,9492820828125.207,2002148.809961406,-1975436425.2219222
307.63639426231384,96.01390838623047,2504533.4061805047,9677588211870.486,2027131.5135721816,-2166526177.5381646
307.3422577381134,96.27696514129639,2465455.451422751,9419267374428.682,1995502.4078189451,-2108653479.656316
308.01864647865295,96.66136431694031,2496765.22309936,9684656920433.465,2020844.0633136274,-2109552655.8836486
307.03573727607727,96.61791229248047,2480801.3926857836,9521766037501.87,2007923.180680614,-2015053724.972791
307.95465111732483,96.09817361831665,2426766.2900419333,9383148633635.271,1964187.9842382304,-1954800915.1086144
307.7430799007416,96.00319361686707,2532542.0976417717,9771621116913.379,2049801.3256560934,-2104015370.1723158
308.02645564079285,96.22496771812439,2433032.699344553,9240221374354.74,1969259.9222445725,-1978515784.2628214
