Accuracy,MAE,MSE,Runtime,algorithm,genCount,leaf_size,n_neighbors,p,stdApproach,stdMAE,stdMSE,stdRuntime,weights
0.9979880413328729,2.565895644381343,37.48731687557848,95.61498844623566,ball_tree,168,70,7,1,0.0005327160234601115,0.16724621239353077,9.925698128113746,3.911966223665316,distance
0.9979862946476562,2.566796917984381,37.5198615512122,91.103000664711,kd_tree,114,70,7,1,0.0005334111848086398,0.16758338664511954,9.938650548150923,2.7161309903956976,distance
0.9979856648917365,2.2773667990264483,37.53159532094508,67.9733205795288,brute,203,50,4,1,0.00041357919692389046,0.13812284560295832,7.705910991884597,0.3602908650867706,distance
0.9979856648917365,2.2773667990264483,37.53159532094508,73.0554275751114,brute,137,70,4,1,0.00041357919692389046,0.13812284560295832,7.705910991884597,1.7083948955493131,distance
0.9979405753495308,2.654340712421081,38.37171494370334,90.32108051776886,ball_tree,137,50,8,1,0.0006754233149084129,0.17643295738776965,12.584656059201377,5.496803033355126,distance
0.9979398710686425,2.6546182173099298,38.38483728128391,85.92488710880279,kd_tree,236,50,8,1,0.0006760359376962957,0.17711744584786124,12.596070600142108,4.068628337936905,distance
0.9979074132644172,2.5689444859849635,38.9895992040645,89.31369416713714,kd_tree,259,10,7,1,0.0005667364241787142,0.16914466875742534,10.559574739403926,1.448898269609451,distance
0.9979052938227765,2.3833973995925364,39.02908917057063,91.06050889492035,ball_tree,78,50,5,1,0.0009331263526852495,0.17663427528661751,17.386243484820156,6.1394617930965865,distance
0.9979052002615945,2.3837593015012772,39.03083242590531,77.82402710914612,kd_tree,168,50,5,1,0.0009329113912942554,0.17616713003754325,17.38223827044244,1.1913796455519434,distance
0.9978957932475172,2.3944573967250125,39.20610626394838,79.41034731864929,brute,168,70,5,1,0.0005423403111130977,0.15096337374964566,10.105020261736678,2.630536246148472,distance
0.9978854924295069,2.654836641373828,39.39803368032397,101.97917866706848,ball_tree,114,70,8,1,0.0005985179780033463,0.17248438958291126,11.151736595653405,7.015101258720662,distance
0.9978844714190404,2.655598781249379,39.41705740258452,82.64366490840912,kd_tree,168,70,8,1,0.0005989906118045166,0.17319296178661095,11.160542826795131,0.9049254439078256,distance
0.9978528284732583,2.578061153736794,40.006636679133,93.08179297447205,ball_tree,168,50,7,1,0.0009388793570242021,0.18554334271784087,17.49343489991406,3.8021245128748173,distance
0.997852352868267,2.5786374402462036,40.01549827023022,77.1786348581314,kd_tree,203,50,7,1,0.0009395291711971839,0.18535702792374817,17.505542400038276,1.9007734524783182,distance
0.997852352868267,2.5786374402462036,40.01549827023022,77.14823713302613,kd_tree,203,50,7,1,0.0009395291711971839,0.18535702792374817,17.505542400038276,1.483985336077713,distance
0.9978192107054651,2.483705538685373,40.633011333098814,81.05759160518646,ball_tree,236,50,6,1,0.0010113671198245867,0.18450717482711934,18.844045018352023,1.5677224932571963,distance
0.9978136837189989,2.5881865992025475,40.735991526682405,88.47940630912781,brute,114,70,7,1,0.000642916131581754,0.1628488310036017,11.978974092663352,3.3058705222703546,distance
0.9978136837189989,2.5881865992025475,40.735991526682405,88.3165248632431,brute,114,70,7,1,0.000642916131581754,0.1628488310036017,11.978974092663352,2.7532566335994075,distance
0.9978136837189989,2.5881865992025475,40.735991526682405,89.5818442106247,brute,114,70,7,1,0.000642916131581754,0.1628488310036017,11.978974092663352,7.230050011131287,distance
0.9978136837189989,2.5881865992025475,40.735991526682405,88.53919525146485,brute,114,50,7,1,0.000642916131581754,0.1628488310036017,11.978974092663352,3.16663829923877,distance
0.997801359591396,2.380052976079784,40.9656177532117,69.74111127853394,kd_tree,203,70,5,1,0.0008739927063850941,0.17335242113726954,16.284450603544055,1.7861750209460356,distance
0.9978012243518272,2.2904179048126445,40.968137570669356,78.78479828834534,ball_tree,236,30,4,1,0.000811197665196007,0.16120210559652176,15.114437697347713,2.915710185134089,distance
0.9978012243518272,2.2904179048126445,40.968137570669356,85.01864621639251,ball_tree,168,50,4,1,0.000811197665196007,0.16120210559652176,15.114437697347713,0.6788255665291247,distance
0.997801098188803,2.381013952194901,40.97048827167755,87.03020021915435,ball_tree,168,70,5,1,0.0008747953543825095,0.17439063577777628,16.299405741692834,1.1772708646637688,distance
0.997801098188803,2.381013952194901,40.97048827167755,89.70258245468139,ball_tree,168,70,5,1,0.0008747953543825095,0.17439063577777628,16.299405741692834,2.515945362779433,distance
0.9977964186342309,2.281887766733459,41.05767890234951,96.9126606464386,ball_tree,114,70,4,1,0.0010240149723243302,0.1753117231908275,19.07970296809007,4.918132409226392,distance
0.9977665600826402,2.9870917449653547,41.614010900229935,83.50714588165283,kd_tree,78,70,7,1,0.0005569695465001672,0.1695557860846119,10.377595832777674,5.444984236260075,uniform
0.99775758384617,2.6503881289666054,41.78125838220037,89.16012732982635,ball_tree,137,50,5,1,0.0009517018100654918,0.17997095535494467,17.732346050593463,4.662779361280161,uniform
0.997740591218707,2.678457636932335,42.09786926524626,90.34891574382782,brute,114,50,8,1,0.0006953357175151709,0.16972467358565402,12.95566892267198,2.8696697977082777,distance
0.997740591218707,2.678457636932335,42.09786926524626,80.45743844509124,brute,78,70,8,1,0.0006953357175151709,0.16972467358565402,12.95566892267198,7.220636112828164,distance
0.9977251144017776,2.8294317260074187,42.38623718747918,90.54674067497254,brute,114,70,10,1,0.0005712239725349215,0.1582667374224655,10.643187862263787,7.060503824204021,distance
0.9977251144017776,2.8294317260074187,42.38623718747918,77.82246122360229,brute,78,50,10,1,0.0005712239725349215,0.1582667374224655,10.643187862263787,6.432382055079805,distance
0.9976263117633419,3.1400040352879937,44.22715264747306,114.85392372608185,ball_tree,50,70,8,1,0.0006180174543581485,0.17531574577498277,11.515055713964323,13.14590612320136,uniform
0.9975273891201916,3.4013527707111266,46.07030406531063,123.00501062870026,kd_tree,50,50,10,1,0.0006200749536831005,0.16712638717655173,11.553391555762348,8.933023677256479,uniform
0.9974859228669974,3.0090667529700807,46.8429136613881,3.673219609260559,brute,114,50,5,2,0.0005612660134247593,0.1529172008824374,10.457648678633433,0.210644425385664,distance
0.9974859228669974,3.0090667529700807,46.8429136613881,4.2950043201446535,brute,78,70,5,2,0.0005612660134247593,0.1529172008824374,10.457648678633433,0.5421009892926519,distance
0.9974819081709931,3.163562368059876,46.91771648101506,90.48548266887664,brute,114,70,8,1,0.0007074509132074932,0.1712547773918025,13.181402277609791,3.8518203500508283,uniform
0.9974819081709931,3.163562368059876,46.91771648101506,90.08955686092376,brute,114,70,8,1,0.0007074509132074932,0.1712547773918025,13.181402277609791,2.4167281923031783,uniform
0.9973903652070849,3.6180027349547705,48.62336787029394,117.02723336219788,ball_tree,50,50,12,1,0.0006190076985583596,0.17825901584626472,11.53350619146411,13.927998274430719,uniform
0.9973419982346469,3.2903872762343114,49.52455339249805,6.501823091506958,brute,49,70,7,2,0.0005249330367732343,0.17133403789194845,9.7806835744184,0.6469658180777671,distance
0.9973419982346469,3.2903872762343114,49.52455339249805,7.071230149269104,brute,50,50,7,2,0.0005249330367732343,0.17133403789194845,9.7806835744184,0.8946643954352784,distance
0.9973123549130388,3.335946829780871,50.07687517153447,3.6725298881530763,brute,114,70,5,2,0.0005634480517493195,0.16294203146521458,10.498304962206356,0.14073092073901455,uniform
0.9973123549130388,3.335946829780871,50.07687517153447,4.310547423362732,brute,78,50,5,2,0.0005634480517493195,0.16294203146521458,10.498304962206356,0.619058873892555,uniform
0.9972784242837571,3.39335410728565,50.70907913896647,4.4516325235366825,brute,78,30,8,2,0.0005096259276054511,0.1571329758442466,9.495477689626808,0.4588245588770759,distance
0.9972657564546301,3.40455317076338,50.94510929821919,77.93076975345612,ball_tree,137,70,8,2,0.0006431623271971834,0.19065482919248292,11.983561270919916,1.1054167759026168,distance
0.9972452043163539,3.7577788831437715,51.32804187661318,93.76926603317261,brute,50,50,30,1,0.0006464212981464986,0.19999695392912417,12.044283232389816,8.557191855738624,distance
0.9972044739917403,3.2332443128996893,52.086939467394544,1794.7985127449035,brute,50,70,4,3,0.000466952219414123,0.1718345114994457,8.70037049017865,290.8676598499581,distance
0.9972044739917403,3.2332443128996893,52.086939467394544,1643.1465152025223,brute,78,50,4,3,0.000466952219414123,0.1718345114994457,8.70037049017865,33.64982494720952,distance
0.9971239316911402,3.350573450771072,53.587623747749866,39.01657485961914,kd_tree,114,70,5,2,0.0009225520607012499,0.21189375392745047,17.189220633001266,2.4105654173656883,uniform
0.9971067960074246,3.7627815744433546,53.90690009066443,85.61995508670807,ball_tree,78,70,7,2,0.0006126986974291439,0.21011966830154638,11.415955305174593,6.839228620784422,uniform
0.9971059373616548,2.7377790728749365,53.92289859330823,6.004685640335083,brute,48,70,3,2,0.0008117477591807764,0.15241937081403562,15.124687185995851,0.5200829494658222,distance
0.997066481340066,3.7574791247823773,54.65805305155165,6.864898276329041,brute,50,70,7,2,0.000534069033233138,0.1853081908442941,9.950907744457872,0.7844424248468351,uniform
0.9970653537784961,3.415956134904648,54.67906206061468,843.2439197301865,ball_tree,168,50,5,3,0.0010004912740192704,0.21895199167423343,18.64140354034556,44.4697627677487,distance
0.9970624411776845,3.418054945824422,54.73333036708768,1485.2754223823547,brute,114,50,5,3,0.0006246343645257973,0.1738018239635552,11.638343638436028,59.444392690364324,distance
0.9970365543703006,4.179155983190991,55.21565983396929,100.43799161911011,ball_tree,78,50,20,1,0.00055590240601783,0.19149323263682203,10.357712604525332,6.8942082107916,uniform
