Approach,MAE,MSE,Runtime,alpha,fit_intercept,generacion,normalize,selection,stdApproach,stdMAE,stdMSE,stdRuntime,tol
0,100,100,0,1.0000000000000002,False,0,True,random,0,100,100,0,0.001
0,100,100,0,0.7000000000000001,False,2,False,cyclic,0,100,100,0,0.001
0,100,100,0,0.1,False,2,False,cyclic,0,100,100,0,0.0001
0,100,100,0,0.1,False,3,True,cyclic,0,100,100,0,0.001
0,100,100,0,0.1,False,3,True,random,0,100,100,0,0.001
0,100,100,0,0.1,True,3,True,cyclic,0,100,100,0,0.001
0,100,100,0,1.0000000000000002,True,3,True,cyclic,0,100,100,0,0.001
0,100,100,0,0.1,True,3,True,cyclic,0,100,100,0,0.0001
0,100,100,0,1.0000000000000002,False,4,True,cyclic,0,100,100,0,0.001
0,100,100,0,0.4,False,4,False,random,0,100,100,0,1e-05
0,100,100,0,0.4,True,4,True,cyclic,0,100,100,0,0.001
0,100,100,0,0.1,True,4,True,cyclic,0,100,100,0,1e-05
0,100,100,0,1.0000000000000002,True,4,True,random,0,100,100,0,1e-05
0,100,100,0,0.4,True,4,False,random,0,100,100,0,1e-05
0,100,100,0,0.7000000000000001,False,5,True,cyclic,0,100,100,0,0.0001
0,100,100,0,1.0000000000000002,False,5,True,cyclic,0,100,100,0,0.0001
0,100,100,0,0.4,False,5,True,random,0,100,100,0,1e-05
0,100,100,0,0.4,True,5,True,cyclic,0,100,100,0,0.0001
0,100,100,0,0.7000000000000001,True,5,True,cyclic,0,100,100,0,0.0001
0,100,100,0,0.1,False,6,True,cyclic,0,100,100,0,1e-05
0,100,100,0,0.4,False,6,False,random,0,100,100,0,0.001
0,100,100,0,0.4,False,6,False,cyclic,0,100,100,0,1e-05
0,100,100,0,1.0000000000000002,False,6,False,random,0,100,100,0,1e-05
0,100,100,0,0.7000000000000001,False,2,False,random,0,100,100,0,0.001
0,100,100,0,1.0000000000000002,False,2,True,cyclic,0,100,100,0,1e-05
0,100,100,0,0.4,False,0,True,cyclic,0,100,100,0,0.0001
0,100,100,0,0.4,False,2,True,cyclic,0,100,100,0,1e-05
0,100,100,0,0.7000000000000001,False,0,True,cyclic,0,100,100,0,1e-05
0,100,100,0,0.7000000000000001,False,0,True,random,0,100,100,0,1e-05
0,100,100,0,1.0000000000000002,False,0,True,random,0,100,100,0,1e-05
0,100,100,0,0.4,False,0,False,random,0,100,100,0,0.0001
0,100,100,0,0.1,False,0,False,cyclic,0,100,100,0,1e-05
0,100,100,0,1.0000000000000002,True,0,True,cyclic,0,100,100,0,0.0001
0,100,100,0,1.0000000000000002,True,0,True,cyclic,0,100,100,0,1e-05
0,100,100,0,0.1,True,0,False,cyclic,0,100,100,0,0.001
0,100,100,0,0.7000000000000001,True,0,False,cyclic,0,100,100,0,0.001
0,100,100,0,0.1,True,0,False,cyclic,0,100,100,0,1e-05
0,100,100,0,0.4,False,1,True,random,0,100,100,0,0.001
0,100,100,0,0.4,False,1,True,random,0,100,100,0,0.0001
0,100,100,0,1.0000000000000002,False,1,True,random,0,100,100,0,0.0001
0,100,100,0,0.1,False,1,False,cyclic,0,100,100,0,0.001
0,100,100,0,0.4,False,1,False,cyclic,0,100,100,0,0.001
0,100,100,0,1.0000000000000002,False,1,False,cyclic,0,100,100,0,0.0001
0,100,100,0,1.0000000000000002,False,1,False,random,0,100,100,0,0.0001
0,100,100,0,1.0000000000000002,True,1,True,random,0,100,100,0,0.001
0,100,100,0,0.4,True,1,False,cyclic,0,100,100,0,0.001
0,100,100,0,0.4,False,2,True,cyclic,0,100,100,0,0.001
0,100,100,0,0.7000000000000001,False,2,True,cyclic,0,100,100,0,0.001
0,100,100,0,1.0000000000000002,True,6,False,random,0,100,100,0,1e-05
