,Accuracy,Modelo,Parametros,Runtime,accuracy_values,runtime_values,stdAccuracy
0,0.8266942075337598,KNeighborsClassifier,"{'n_neighbors': 8, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 30}",0.024086308479309083,"[0.81845238 0.80654762 0.83333333 0.8125     0.81547619 0.8452381
 0.8422619  0.80059524 0.85373134 0.83880597]","[0.02398586 0.02298737 0.02398634 0.02398586 0.02398705 0.02398634
 0.02298689 0.02498555 0.025985   0.02398682]",0.01729247476726459
1,0.8210358919687278,KNeighborsClassifier,"{'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 10}",0.031182312965393068,"[0.80952381 0.80952381 0.83928571 0.81547619 0.80952381 0.81547619
 0.8422619  0.78869048 0.84477612 0.8358209 ]","[0.02998352 0.02998161 0.029984   0.03398085 0.02998185 0.03098392
 0.03098273 0.03297925 0.03098249 0.0319829 ]",0.01752548136943946
2,0.8186460554371002,KNeighborsClassifier,"{'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 50}",0.019089174270629884,"[0.8125     0.80654762 0.83035714 0.81845238 0.81547619 0.83035714
 0.83035714 0.79166667 0.83283582 0.81791045]","[0.02298737 0.0219872  0.02298665 0.01799011 0.0179882  0.01699066
 0.01898789 0.01499295 0.01399088 0.02198982]",0.012391361509964893
3,0.8159737029140015,KNeighborsClassifier,"{'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 50}",0.016091012954711915,"[0.81547619 0.79464286 0.81547619 0.80059524 0.8125     0.83630952
 0.83035714 0.7827381  0.83880597 0.83283582]","[0.01499176 0.01599121 0.01798987 0.01599073 0.01699042 0.01599121
 0.01599097 0.01499104 0.01599097 0.01599193]",0.017985388053319198
4,0.8156707533759772,KNeighborsClassifier,"{'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 10}",0.02848358154296875,"[0.79761905 0.80059524 0.8452381  0.81547619 0.8125     0.82738095
 0.80654762 0.79761905 0.83283582 0.82089552]","[0.02798271 0.02798414 0.02598643 0.03098202 0.02898288 0.02798533
 0.0289824  0.02798319 0.02898431 0.0289824 ]",0.015184257156092543
5,0.8147787846481875,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 70}",0.03378074169158936,"[0.80357143 0.82142857 0.80952381 0.80059524 0.80952381 0.81845238
 0.82738095 0.80059524 0.84179104 0.81492537]","[0.03297949 0.0389781  0.03198171 0.03198218 0.03597903 0.03198218
 0.03498006 0.03398108 0.03098464 0.03397894]",0.01236686554461199
6,0.814179104477612,KNeighborsClassifier,"{'n_neighbors': 6, 'weights': 'uniform', 'algorithm': 'brute', 'p': 1, 'leaf_size': 10}",0.04137675762176514,"[0.80357143 0.79464286 0.83928571 0.8125     0.80952381 0.82142857
 0.83630952 0.7827381  0.8238806  0.81791045]","[0.03597975 0.03997731 0.04197598 0.04097724 0.05496812 0.03997755
 0.05097103 0.03797889 0.03498149 0.03598022]",0.016697035485664643
7,0.8135838663823737,KNeighborsClassifier,"{'n_neighbors': 20, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 30}",0.045774102210998535,"[0.80952381 0.82142857 0.8125     0.80059524 0.80654762 0.82738095
 0.83035714 0.78571429 0.8358209  0.80597015]","[0.0469799  0.04596806 0.04497504 0.04897118 0.04497385 0.04497457
 0.04597425 0.04497457 0.04497504 0.04497457]",0.014485446256445766
8,0.8120931058990761,KNeighborsClassifier,"{'n_neighbors': 4, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 30}",0.020288610458374025,"[0.80654762 0.77678571 0.82738095 0.79761905 0.82142857 0.83035714
 0.82440476 0.80357143 0.82089552 0.8119403 ]","[0.01998925 0.0199883  0.01899028 0.02198768 0.0209868  0.01998925
 0.01998997 0.01898932 0.02098703 0.02098823]",0.015630126829259627
9,0.8100088841506752,KNeighborsClassifier,"{'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 10}",0.033780598640441896,"[0.80059524 0.80357143 0.82142857 0.80059524 0.80059524 0.82738095
 0.82738095 0.78869048 0.82985075 0.8       ]","[0.03198123 0.03397989 0.02898407 0.04897237 0.03198242 0.03098154
 0.03398156 0.03297973 0.03198195 0.03198123]",0.014105422962228983
