id,x,y,type
1,11.282,2.312,1
1,11.277,3.894,1
1,11.958,3.898,1
1,11.961,2.317,1
1,11.282,2.312,1
2,11.569,4.366,2
2,11.637,4.378,2
2,11.737,4.352,2
2,11.810,4.279,2
2,11.833,4.215,2
2,11.824,4.112,2
2,11.789,4.052,2
2,11.705,3.992,2
2,11.636,3.981,2
2,11.568,3.993,2
2,11.508,4.027,2
2,11.464,4.080,2
2,11.441,4.145,2
2,11.440,4.214,2
2,11.464,4.279,2
2,11.509,4.332,2
2,11.569,4.366,2
3,6.300,2.301,1
3,6.290,3.889,1
3,6.976,3.896,1
3,6.986,2.308,1
3,6.300,2.301,1
4,6.584,4.359,2
4,6.687,4.368,2
4,6.752,4.344,2
4,6.825,4.272,2
4,6.848,4.207,2
4,6.839,4.104,2
4,6.804,4.044,2
4,6.720,3.985,2
4,6.651,3.973,2
4,6.583,3.985,2
4,6.523,4.019,2
4,6.479,4.073,2
4,6.455,4.137,2
4,6.455,4.206,2
4,6.479,4.271,2
4,6.524,4.324,2
4,6.584,4.359,2
5,11.303,4.465,1
5,11.283,8.769,1
5,11.955,8.775,1
5,11.975,4.471,1
5,11.303,4.465,1
6,11.578,9.241,2
6,11.681,9.250,2
6,11.746,9.227,2
6,11.819,9.154,2
6,11.842,9.089,2
6,11.833,8.986,2
6,11.799,8.927,2
6,11.713,8.868,2
6,11.646,8.856,2
6,11.577,8.868,2
6,11.517,8.902,2
6,11.473,8.955,2
6,11.450,9.020,2
6,11.449,9.089,2
6,11.474,9.154,2
6,11.518,9.206,2
6,11.578,9.241,2
7,1.598,4.352,2
7,1.667,4.364,2
7,1.766,4.338,2
7,1.839,4.265,2
7,1.863,4.199,2
7,1.863,4.131,2
7,1.819,4.037,2
7,1.735,3.978,2
7,1.666,3.966,2
7,1.598,3.977,2
7,1.538,4.012,2
7,1.494,4.065,2
7,1.471,4.130,2
7,1.470,4.199,2
7,1.495,4.264,2
7,1.538,4.317,2
7,1.598,4.352,2
8,6.322,4.457,1
8,6.302,8.736,1
8,6.983,8.741,1
8,7.003,4.462,1
8,6.322,4.457,1
9,6.593,9.235,2
9,6.661,9.247,2
9,6.761,9.220,2
9,6.814,9.176,2
9,6.857,9.083,2
9,6.848,8.980,2
9,6.813,8.920,2
9,6.729,8.860,2
9,6.660,8.849,2
9,6.592,8.860,2
9,6.532,8.894,2
9,6.488,8.947,2
9,6.464,9.013,2
9,6.464,9.082,2
9,6.488,9.147,2
9,6.532,9.200,2
9,6.593,9.235,2
10,1.608,9.227,2
10,1.676,9.239,2
10,1.776,9.212,2
10,1.829,9.168,2
10,1.872,9.075,2
10,1.872,9.005,2
10,1.828,8.912,2
10,1.775,8.867,2
10,1.675,8.841,2
10,1.607,8.853,2
10,1.547,8.887,2
10,1.503,8.941,2
10,1.479,9.005,2
10,1.479,9.074,2
10,1.503,9.139,2
10,1.548,9.192,2
10,1.608,9.227,2
