TIME,CORE,RAM,CPU,MEMORY
18:59:44.159139194,0.00,3.15,2.8,54125128
18:59:45.819071093,0.00,3.14,3.3,53489760
18:59:47.482136054,0.00,3.67,34.7,52034164
18:59:49.158547895,0.00,4.30,43.2,50219556
18:59:50.878030589,0.00,4.82,41,49347616
18:59:52.577613849,0.00,4.56,23.7,49378968
18:59:54.250471535,0.00,4.97,22.5,49354616
18:59:55.929558942,0.00,4.93,25.7,49372600
18:59:57.604940591,0.00,4.64,25.8,49325876
18:59:59.286390807,0.00,5.03,23.4,49435064
19:00:00.966503158,0.00,4.81,27.4,49316092
19:00:02.669715356,0.00,4.96,23.5,49346404
19:00:04.369839135,0.00,4.83,25.5,49290420
19:00:06.079581323,0.00,4.99,26.1,49280576
19:00:07.773754667,0.00,4.80,27.4,49318524
19:00:09.513105185,0.00,4.89,25.3,49313284
19:00:11.249661136,0.00,5.00,21.1,49337352
19:00:12.934172884,0.00,4.73,25.2,49343028
19:00:14.616778847,0.00,4.90,22.9,49327968
19:00:16.291637556,0.00,4.87,21.1,49322512
19:00:17.965098626,0.00,4.74,25.7,49323468
19:00:19.648707506,0.00,4.88,21.8,49330076
19:00:21.329732023,0.00,4.88,23,49427720
19:00:23.023745383,0.00,5.01,22.5,49303516
19:00:24.701362402,0.00,4.80,22.7,49293940
19:00:26.379056990,0.00,4.74,23.4,49299152
19:00:28.056561472,0.00,4.96,22.3,49231828
19:00:29.736864299,0.00,4.85,24.4,49240828
19:00:31.430383749,0.00,4.76,27.2,49215784
19:00:33.126229215,0.00,5.04,24.3,49257980
19:00:34.827641381,0.00,4.72,28.2,49210444
19:00:36.514590633,0.00,4.60,25.7,49252684
19:00:38.193268519,0.00,5.11,21.3,49212176
19:00:39.881155134,0.00,4.96,25.3,49278872
19:00:41.561373735,0.00,4.47,22.7,49205804
19:00:43.237740917,0.00,5.15,21.1,49312840
19:00:44.919252047,0.00,4.69,22.9,49202352
19:00:46.599550230,0.00,4.92,24.5,49286536
19:00:48.299956545,0.00,5.02,21.6,49305632
19:00:49.980589893,0.00,5.09,47.6,49336000
19:00:51.711472962,0.00,4.94,27,49165564
19:00:53.427360096,0.00,4.73,23.8,49240696
19:00:55.103591029,0.00,4.94,25,49169112
19:00:56.804783636,0.00,4.88,26.4,49155736
19:00:58.484801027,0.00,4.83,28.4,49141740
19:01:00.179227789,0.00,4.92,23.3,49136048
19:01:01.899260799,0.00,4.92,70.8,49206116
19:01:03.622634648,0.00,4.71,29,49226812
19:01:05.366739459,0.00,4.94,21.1,49143944
19:01:07.074691608,0.00,4.87,23.8,49137464
19:01:08.776072541,0.00,4.97,25.1,49222424
