TIME,CORE,RAM,CPU,MEMORY
17:59:12.826368026,0.00,3.19,2.9,44575332
17:59:14.494658474,0.00,3.22,2.2,44379432
17:59:16.116280410,0.00,3.31,28.7,42853788
17:59:17.759516646,0.00,4.04,50.6,40418304
17:59:19.441567617,0.00,4.54,58.7,38498096
17:59:21.174432266,0.00,5.25,71.8,35987812
17:59:22.951797965,0.00,5.79,87.9,34307008
17:59:24.898098381,0.00,5.65,90.8,33146696
17:59:26.853170347,0.00,6.07,99.9,32234960
17:59:28.898830864,0.00,5.47,97.6,30857460
17:59:30.910524567,0.00,6.03,75.9,30741400
17:59:33.182030000,0.00,5.96,86.5,28131252
17:59:35.318903979,0.00,6.19,94.5,25910020
17:59:37.221559611,0.00,6.35,97.2,23824884
17:59:39.398335412,0.00,6.64,99.3,22579376
17:59:41.664141766,0.00,6.66,99.8,23086672
17:59:44.416299812,0.00,5.86,98.4,24951700
17:59:47.115240766,0.00,6.66,98.8,24490700
17:59:49.334194360,0.00,6.52,98.6,21882996
17:59:51.662149588,0.00,6.80,100,21555896
17:59:54.089268109,0.00,6.84,99.9,21326656
17:59:56.470369801,0.00,7.02,99.9,21706208
17:59:59.058323214,0.00,6.78,100,23008572
18:00:01.549135110,0.00,6.46,100,23448384
18:00:03.946113046,0.00,6.43,99.5,24729392
18:00:06.531133819,0.00,6.72,99.2,22847672
18:00:08.986317172,0.00,6.99,100,20647836
18:00:11.444456821,0.00,7.05,100,20533224
18:00:13.881374469,0.00,6.78,99.9,21228776
18:00:16.426230080,0.00,6.95,99.2,21316400
18:00:19.119662961,0.00,6.72,99.6,22493116
18:00:21.635793262,0.00,5.91,100,23724632
18:00:24.249992205,0.00,6.74,99.7,23214380
18:00:26.457218067,0.00,6.56,99.4,21571592
18:00:28.711214050,0.00,6.81,100,20426936
18:00:31.090420097,0.00,6.93,100,20777284
18:00:33.603367675,0.00,6.87,98.3,20997656
18:00:36.006314510,0.00,6.97,100,21277608
18:00:38.359501845,0.00,7.31,99.9,21457516
18:00:41.068449043,0.00,6.73,99.2,21665576
18:00:43.293276365,0.00,6.49,100,20335196
18:00:45.857203791,0.00,7.06,100,20558268
18:00:48.412402028,0.00,6.73,98.6,22302204
18:00:50.832134625,0.00,6.65,99.8,21837680
18:00:53.420279147,0.00,6.68,100,20949064
18:00:55.867541805,0.00,7.04,100,20002764
18:00:58.341234817,0.00,7.11,100,20012548
18:01:00.840328285,0.00,6.79,100,20598008
18:01:03.473280954,0.00,6.94,100,21075656
18:01:06.050473272,0.00,6.99,100,20940060
18:01:08.553296539,0.00,6.95,99.8,21740360
18:01:11.389169268,0.00,7.02,99.9,20352088
18:01:14.155172145,0.00,6.70,100,20791336
18:01:16.836191137,0.00,6.62,100,20958524
18:01:19.728210214,0.00,6.49,99.7,21333732
18:01:22.587169257,0.00,7.16,100,19731880
18:01:25.200203351,0.00,7.17,100,20010320
18:01:27.755199762,0.00,6.76,99.9,20881200
18:01:30.296439320,0.00,7.15,99.9,20933432
18:01:32.924374691,0.00,7.03,100,21073304
18:01:35.514248494,0.00,6.77,100,21322484
18:01:38.127298813,0.00,6.56,100,21603068
18:01:40.678238222,0.00,6.89,99.6,20332300
18:01:43.059629385,0.00,7.00,100,20026300
18:01:45.403192277,0.00,6.98,99.7,21010944
18:01:47.840807747,0.00,6.64,99.2,21228800
18:01:50.121372016,0.00,6.79,99.6,20588832
18:01:52.507369716,0.00,6.92,99.9,20387668
18:01:55.065416231,0.00,6.84,99.9,19878756
18:01:57.652215365,0.00,6.93,100,20197168
18:02:00.389317747,0.00,7.01,100,19748088
18:02:03.267225738,0.00,7.09,100,20055144
18:02:06.054230518,0.00,7.04,99.9,20547936
18:02:08.618986320,0.00,7.09,100,20549844
18:02:10.920887750,0.00,6.98,100,21156888
18:02:13.555236555,0.00,7.03,98.6,20833844
18:02:16.268181702,0.00,6.74,100,20638112
18:02:18.729232000,0.00,6.41,100,19785036
18:02:21.153222391,0.00,6.85,99.5,20599368
18:02:23.645253632,0.00,6.57,100,20939576
18:02:26.282225457,0.00,6.87,100,20699676
18:02:28.845172443,0.00,7.01,100,20403920
18:02:31.554261312,0.00,6.69,100,20175996
18:02:33.882252611,0.00,6.78,100,19884736
18:02:36.327295052,0.00,6.92,100,19611232
18:02:38.738229156,0.00,7.01,100,19814192
18:02:41.429206127,0.00,7.05,99.9,20504964
18:02:44.090248476,0.00,7.08,100,20632368
18:02:46.901285027,0.00,7.04,99.9,20635488
18:02:49.458328052,0.00,6.97,100,20533488
18:02:52.062037969,0.00,7.42,100,20675312
18:02:54.556738272,0.00,6.99,99.7,21442544
18:02:57.231201977,0.00,6.68,99.8,19976736
18:02:59.578149503,0.00,6.69,100,19767956
18:03:02.169297752,0.00,6.64,100,21287300
18:03:04.625914516,0.00,6.84,99.9,19913384
18:03:07.034478854,0.00,6.60,100,20184972
18:03:09.577018368,0.00,6.66,100,20736988
18:03:12.062539109,0.00,6.66,100,19189628
18:03:14.474471577,0.00,7.03,100,19523528
18:03:16.706772765,0.00,7.45,99.8,19489000
18:03:19.111281510,0.00,7.35,100,20183652
18:03:21.745186662,0.00,6.96,100,20122484
18:03:24.003083034,0.00,7.09,100,20172052
18:03:26.457364043,0.00,7.18,99.6,20401272
18:03:29.045247625,0.00,7.13,99.2,21000336
18:03:31.465282160,0.00,6.85,100,20612712
18:03:33.852319501,0.00,7.28,100,20674404
18:03:36.344401986,0.00,6.89,99.8,21161168
18:03:38.664358019,0.00,6.90,99.9,19706660
18:03:41.246302879,0.00,7.18,100,19834816
18:03:43.911630682,0.00,6.61,99.7,20626668
18:03:46.328179795,0.00,6.87,99.7,20499336
18:03:48.655219800,0.00,7.01,99.8,19777136
18:03:51.493264010,0.00,6.50,99.8,20709836
18:03:54.074556308,0.00,6.76,99.9,20413820
18:03:56.681178931,0.00,7.22,99.9,20185076
18:03:59.558225543,0.00,6.65,99.9,19373328
18:04:02.329629249,0.00,6.89,100,19741332
18:04:04.932408530,0.00,6.79,100,19581168
18:04:07.536299470,0.00,7.02,100,19799076
18:04:10.398319416,0.00,6.91,100,20322544
18:04:13.228675276,0.00,6.95,100,20469908
18:04:15.862972881,0.00,7.10,100,20391972
18:04:18.464319630,0.00,6.98,98.3,20936568
18:04:20.970530649,0.00,7.11,100,20674348
18:04:23.884337848,0.00,7.04,99.9,20964468
18:04:26.662354958,0.00,6.93,100,20095548
18:04:29.047332340,0.00,6.81,99.4,19385908
18:04:31.458457783,0.00,7.06,100,20149728
18:04:33.997388585,0.00,7.01,99.9,20219368
18:04:36.504027921,0.00,6.82,99.9,20630588
18:04:38.941264506,0.00,6.46,99.9,19845096
18:04:41.585243819,0.00,6.64,100,20625260
18:04:44.158204400,0.00,6.95,99.7,19555904
18:04:46.797252845,0.00,7.12,99.6,19966060
18:04:49.670193297,0.00,6.84,100,19590516
18:04:52.163217416,0.00,6.96,99.9,19548652
18:04:54.774255861,0.00,7.14,99.7,20084040
18:04:57.256258844,0.00,7.17,99.7,20689344
18:05:00.079449054,0.00,7.71,100,20283952
18:05:02.837341903,0.00,7.00,100,20402472
18:05:05.189241860,0.00,6.82,100,20610528
18:05:07.635398677,0.00,7.26,100,20495644
18:05:10.155381148,0.00,6.90,100,20753588
18:05:12.776331599,0.00,6.74,100,21036940
18:05:15.405261062,0.00,6.82,100,19221204
