TIME,CORE,RAM,CPU,MEMORY
01:50:22.102652312,0.00,3.21,3.2,44113880
01:50:23.755970516,0.00,3.22,2.9,43996536
01:50:25.398082585,0.00,3.33,30.9,42776964
01:50:27.048585476,0.00,4.09,56.8,41512668
01:50:28.771769303,0.00,4.87,63,40180068
01:50:30.522434858,0.00,5.34,74.3,38956716
01:50:32.361958220,0.00,5.62,89.3,37693544
01:50:34.262973069,0.00,6.02,99,36679664
01:50:36.147031890,0.00,5.58,90.7,35738080
01:50:38.301459620,0.00,6.08,95.4,34431836
01:50:40.721317992,0.00,5.70,91.8,33595960
01:50:42.851706938,0.00,5.36,91,33640216
01:50:45.215727475,0.00,6.16,93,33136372
01:50:47.373680330,0.00,5.48,93.7,33128296
01:50:49.539216965,0.00,5.54,99.8,33225072
01:50:51.784008039,0.00,5.99,100,32857748
01:50:54.027354787,0.00,6.17,95.6,32289580
01:50:56.135276936,0.00,6.30,100,31750572
01:50:58.343190205,0.00,6.17,98.4,31840116
01:51:01.046323423,0.00,5.95,98.9,31762852
01:51:03.647266444,0.00,6.22,100,32221996
01:51:06.293742822,0.00,5.91,98.6,32212500
01:51:08.763147243,0.00,6.48,99.4,32103528
01:51:11.256381321,0.00,5.93,99.9,32264676
01:51:13.685543776,0.00,6.38,98.2,31480604
01:51:15.849239699,0.00,6.51,100,31139276
01:51:18.310414686,0.00,5.99,99.1,31444492
01:51:20.897302075,0.00,6.48,99.4,31068900
01:51:23.327330271,0.00,6.12,100,31618432
01:51:25.966343003,0.00,5.78,94.9,31671244
01:51:28.183316050,0.00,6.13,100,31652568
01:51:30.447294100,0.00,5.83,97.5,31396416
01:51:32.538185069,0.00,6.22,99.1,31258292
01:51:35.093195578,0.00,6.75,99.9,31058200
01:51:37.906210417,0.00,6.08,100,30941424
01:51:40.300247067,0.00,6.81,100,30850520
01:51:43.092200985,0.00,6.51,100,30943792
01:51:45.637707478,0.00,6.64,99.9,30850208
01:51:48.325438284,0.00,6.44,100,30827108
01:51:50.836260549,0.00,6.37,98.7,30900160
01:51:53.548297338,0.00,6.13,97.8,31373940
01:51:56.195332220,0.00,6.50,100,30998044
01:51:58.559343268,0.00,6.66,100,30925716
01:52:00.924227865,0.00,6.48,99.1,30796356
01:52:03.137915418,0.00,6.58,100,30660940
01:52:05.746387290,0.00,6.82,100,30635192
01:52:08.144748531,0.00,6.43,99.8,30670108
01:52:10.690355359,0.00,6.21,99.6,30615600
01:52:13.065416171,0.00,6.11,99.3,30551168
01:52:15.419952199,0.00,6.83,100,30653564
01:52:17.975382604,0.00,6.74,99.9,30519348
01:52:20.360240868,0.00,5.55,99.2,31070204
01:52:23.055328758,0.00,6.66,100,30868624
01:52:25.543239945,0.00,6.35,100,30863736
01:52:28.029287217,0.00,6.60,100,31278436
01:52:30.448023887,0.00,5.77,96.9,30983064
01:52:32.551051367,0.00,6.09,100,30589764
01:52:34.648303498,0.00,6.42,100,30482116
01:52:37.026340239,0.00,6.33,100,30471328
01:52:39.448236023,0.00,6.35,99.9,30469684
01:52:42.304235992,0.00,6.43,100,30465976
01:52:44.790918818,0.00,6.69,100,30466724
01:52:47.019403586,0.00,6.69,99.8,30453484
01:52:49.347428166,0.00,6.67,100,30516004
01:52:51.720297755,0.00,6.30,100,30458680
01:52:54.141277185,0.00,6.52,100,30440480
01:52:56.572284943,0.00,6.56,99.9,30448580
01:52:58.996383839,0.00,6.12,100,30801428
01:53:01.716410163,0.00,6.38,99.7,30373848
01:53:04.114109282,0.00,6.05,100,30438356
01:53:06.344390588,0.00,6.32,100,30420860
01:53:08.798321356,0.00,6.24,100,30417848
01:53:11.238265756,0.00,6.88,100,30409460
01:53:14.011292484,0.00,6.83,100,30403228
01:53:16.424243862,0.00,6.50,100,30511776
01:53:18.904260462,0.00,6.33,99.9,30740972
01:53:21.217398783,0.00,5.96,96.6,31345012
01:53:23.450569672,0.00,6.73,98.1,30987980
01:53:25.873102284,0.00,6.29,99.3,30711524
01:53:27.919264241,0.00,6.47,100,30351068
01:53:30.226252854,0.00,6.56,99.9,30453140
01:53:32.792263547,0.00,5.98,99.5,30448616
01:53:35.374174307,0.00,6.56,100,30647848
01:53:37.807245888,0.00,5.88,99.3,30718232
01:53:40.102376696,0.00,5.78,99.8,30782176
01:53:42.577260801,0.00,5.85,99.9,31518216
01:53:45.089255669,0.00,6.24,94.2,31361060
01:53:47.193938223,0.00,6.43,97,31263876
01:53:49.369271559,0.00,5.94,99.7,31869808
01:53:52.106255448,0.00,6.03,92.1,31296980
01:53:54.348418913,0.00,6.19,96.4,31506732
01:53:56.771215759,0.00,6.36,98.2,31501232
01:53:58.970643023,0.00,5.94,96.6,31190696
01:54:01.007065460,0.00,6.14,99.7,30965248
01:54:03.186410768,0.00,6.26,97.6,31105040
01:54:05.719401564,0.00,6.00,98.2,30905196
01:54:07.853250586,0.00,6.04,99.4,30704596
01:54:10.408534930,0.00,6.37,99.4,30921448
01:54:12.943353728,0.00,6.74,99.4,30293480
01:54:15.481387124,0.00,6.50,99.9,30161924
01:54:17.892255612,0.00,6.67,100,30576376
01:54:20.326178001,0.00,6.45,99.3,30577760
01:54:22.624448538,0.00,6.80,100,30757776
01:54:25.128354060,0.00,5.96,100,30995344
01:54:27.530252858,0.00,6.24,100,31201052
01:54:29.978679037,0.00,6.18,95.6,30831924
01:54:32.274757242,0.00,5.95,100,30767860
01:54:34.568210230,0.00,6.34,99.8,30393524
01:54:36.759258997,0.00,6.74,99.9,30264364
01:54:39.324381895,0.00,6.53,100,30266976
01:54:42.022225920,0.00,6.53,99.5,30256904
01:54:44.552278742,0.00,6.45,99.7,30160692
01:54:46.925297338,0.00,5.97,100,30731300
01:54:49.315666262,0.00,6.41,99.5,30801760
01:54:51.719967576,0.00,6.14,99.3,30621248
01:54:54.377293975,0.00,6.22,99.2,30496332
01:54:56.960278908,0.00,6.64,100,30505908
01:54:59.487831401,0.00,6.29,100,30390664
01:55:01.963392016,0.00,6.89,100,30257380
01:55:04.699407180,0.00,6.67,100,30319136
01:55:07.190478414,0.00,6.74,100,30380088
01:55:09.746261301,0.00,6.94,100,30379216
01:55:12.285331889,0.00,6.66,100,30315944
01:55:14.729281716,0.00,6.53,100,30248068
01:55:17.264379197,0.00,5.84,99.5,30434492
01:55:19.986396644,0.00,5.84,99.3,30478652
01:55:22.488171345,0.00,6.58,100,30619812
01:55:24.909154940,0.00,6.44,100,30424196
01:55:27.303491202,0.00,6.54,100,30363340
01:55:29.683252774,0.00,6.51,100,30273876
01:55:32.188302046,0.00,6.70,100,30240900
01:55:34.728301610,0.00,6.45,100,30254492
01:55:37.367371825,0.00,5.79,99.8,30254940
01:55:39.763375439,0.00,6.71,100,30255872
01:55:42.239352635,0.00,6.75,100,30315552
01:55:44.758221214,0.00,6.76,100,30256416
01:55:47.366242601,0.00,6.94,100,30380684
01:55:50.168376516,0.00,6.06,100,30147864
01:55:52.677268943,0.00,6.63,100,30289588
01:55:55.207592771,0.00,6.22,99.8,30403676
01:55:57.971595924,0.00,6.23,100,30428204
01:56:00.510281275,0.00,6.26,100,30484420
01:56:02.985365288,0.00,6.02,100,30288764
01:56:05.617362648,0.00,6.82,99.8,30231832
01:56:08.147432088,0.00,6.89,100,30224176
01:56:10.599398301,0.00,6.80,100,30304048
01:56:13.285358312,0.00,5.82,99.8,30263820
01:56:15.767357104,0.00,6.90,100,30672168
01:56:18.149175347,0.00,6.55,100,30336808
01:56:20.585493397,0.00,6.00,100,30500144
01:56:23.085263081,0.00,6.72,100,30204256
01:56:25.519422457,0.00,6.86,100,30311620
01:56:28.132057591,0.00,6.57,99.9,30307040
01:56:30.695413499,0.00,6.77,99.7,30493088
01:56:33.222217827,0.00,6.31,98.9,30624056
01:56:35.807574207,0.00,6.17,100,31210076
01:56:37.971451848,0.00,5.17,99.9,31824656
01:56:40.658508202,0.00,6.33,96.9,32007768
01:56:43.209426287,0.00,5.29,81.2,32248112
01:56:45.338079087,0.00,6.22,99.9,32310076
01:56:47.579280785,0.00,6.20,97.6,31832556
01:56:49.704300990,0.00,6.56,91.8,31519652
01:56:51.740622550,0.00,6.27,96.8,30894236
01:56:53.731720800,0.00,5.59,95.6,30987116
01:56:56.061217424,0.00,6.07,98.6,30802964
01:56:58.359674516,0.00,5.40,99.4,31201760
01:57:00.828314313,0.00,6.14,95,30950492
01:57:03.201426242,0.00,6.29,98.1,30961804
01:57:05.607930214,0.00,6.44,98.9,30827276
01:57:07.869679999,0.00,6.62,99.9,30486680
01:57:10.455371869,0.00,6.47,100,30192032
01:57:12.835560635,0.00,6.43,100,30210764
01:57:15.919149135,0.00,6.61,100,30353412
01:57:18.483233199,0.00,6.65,100,30525584
01:57:21.025490557,0.00,6.04,99.3,30903248
01:57:23.531838917,0.00,5.46,94.1,31210508
