TIME,CORE,RAM,CPU,MEMORY
23:53:43.189156653,0.00,3.20,2.7,44387540
23:53:44.831554713,0.00,3.21,3.4,43780500
23:53:46.458900454,0.00,3.57,39.4,42641820
23:53:48.106587683,0.00,4.24,49.4,41416272
23:53:49.789572557,0.00,4.97,62.3,40136220
23:53:51.574885976,0.00,5.01,74.2,39370312
23:53:53.514318472,0.00,5.04,75.1,38550668
23:53:55.417977295,0.00,5.15,98.4,38068772
23:53:57.545904263,0.00,5.29,98.9,37170592
23:53:59.456290195,0.00,5.54,97.6,36678964
23:54:01.526778568,0.00,5.12,79.2,36444268
23:54:03.565400958,0.00,5.51,96.5,36745036
23:54:05.884104510,0.00,5.30,82.9,36176220
23:54:07.786281895,0.00,5.91,91.8,35261432
23:54:09.808743279,0.00,5.79,90.1,34333932
23:54:11.854911013,0.00,5.88,98.1,33298336
23:54:13.775903499,0.00,6.22,98.5,32354280
23:54:16.004342323,0.00,5.96,100,32062336
23:54:18.489206692,0.00,5.97,99.6,31727428
23:54:20.877441507,0.00,6.60,99.9,32033724
23:54:23.353375486,0.00,4.98,96.2,32405060
23:54:25.958239516,0.00,6.40,99.6,32146500
23:54:28.369860237,0.00,5.79,100,31811952
23:54:30.649176676,0.00,5.84,99,31608492
23:54:33.067338619,0.00,6.43,99.7,31685920
23:54:35.651364596,0.00,6.50,99.9,31605288
23:54:37.954370814,0.00,6.73,100,31591320
23:54:40.557245969,0.00,6.47,100,31585372
23:54:43.265469444,0.00,6.16,99.9,31550064
23:54:46.039418353,0.00,5.80,98.2,31880632
23:54:48.471098696,0.00,6.54,100,31580116
23:54:50.936389614,0.00,6.23,99.9,31758712
23:54:53.105175912,0.00,5.89,94.2,32462240
23:54:55.337253738,0.00,5.97,93.8,32332384
23:54:57.732175792,0.00,6.31,100,32313372
23:54:59.955608161,0.00,5.94,99.4,32009908
23:55:02.320523802,0.00,6.28,100,31289260
23:55:04.686539748,0.00,6.28,100,31277172
23:55:07.226522248,0.00,6.59,100,31275296
23:55:09.846280077,0.00,6.48,99.7,31322932
23:55:12.394407324,0.00,6.26,100,31268256
23:55:15.144399463,0.00,6.00,99.8,31081524
23:55:17.718353908,0.00,6.45,100,31057548
23:55:20.137537358,0.00,6.61,99.9,31054716
23:55:22.591330498,0.00,6.52,99.8,31060380
23:55:25.041455248,0.00,6.22,99.6,31227324
23:55:27.395291424,0.00,6.10,99.7,31794520
23:55:29.870300876,0.00,5.99,99.3,31435692
23:55:32.267274298,0.00,6.40,100,31614832
23:55:34.642388330,0.00,6.12,99.7,31680760
23:55:37.037772631,0.00,6.22,99.7,31497308
23:55:39.364121784,0.00,6.43,100,30988832
23:55:41.604317572,0.00,6.57,100,30986028
23:55:43.981170268,0.00,6.39,99.9,31026320
23:55:46.616256224,0.00,6.27,100,31175392
23:55:49.067298796,0.00,6.50,99.9,31031064
23:55:51.573529837,0.00,6.70,100,30874452
23:55:54.033411973,0.00,6.63,99.9,30931832
23:55:56.422478868,0.00,6.55,100,30738084
23:55:59.058389607,0.00,6.21,99.7,30929632
23:56:01.539146952,0.00,7.03,99.8,30866872
23:56:03.871362790,0.00,6.18,99.9,30770312
23:56:06.190250992,0.00,6.55,99.6,30843772
23:56:08.627443286,0.00,5.87,96.1,32172144
23:56:11.454298575,0.00,6.34,98,31893272
23:56:13.690754558,0.00,6.28,94.9,31879928
23:56:16.087812333,0.00,5.94,99.7,31281120
23:56:18.264535244,0.00,6.05,99.8,30992968
23:56:20.614323448,0.00,6.21,99.2,31331196
23:56:23.234802133,0.00,6.30,99.2,31685660
23:56:25.509608813,0.00,6.21,97.3,31940624
23:56:27.611902375,0.00,6.19,100,31442160
23:56:29.854555162,0.00,5.71,99.6,31845696
23:56:32.118299549,0.00,5.61,98.1,31729428
23:56:34.428206568,0.00,6.47,99.9,31559464
23:56:36.746282528,0.00,6.27,99.8,31507632
23:56:39.327914983,0.00,6.51,100,32110340
23:56:41.611651731,0.00,6.42,100,31702224
23:56:43.850810945,0.00,5.97,98.5,31273976
23:56:46.161063984,0.00,6.21,100,30890184
23:56:48.496405375,0.00,6.57,100,30773600
23:56:51.137270568,0.00,6.41,100,30895372
23:56:53.563386612,0.00,6.58,100,30851196
23:56:56.023454608,0.00,6.37,100,30662236
23:56:58.504683733,0.00,6.04,99.9,30837228
23:57:00.951396080,0.00,6.07,100,30937048
23:57:03.513266500,0.00,6.37,100,31073620
23:57:06.264734357,0.00,5.92,99.7,31413656
23:57:08.718663616,0.00,6.46,99.7,31246668
23:57:11.308346210,0.00,6.60,99.7,30804068
23:57:13.936294967,0.00,5.86,99.9,30615728
23:57:16.386395506,0.00,6.58,100,30620252
23:57:19.100359265,0.00,6.63,100,30767044
23:57:21.465348289,0.00,6.57,100,30887376
23:57:23.992168225,0.00,6.40,100,30829412
23:57:26.428321757,0.00,6.18,99.1,30906140
23:57:29.088361810,0.00,6.67,100,30768196
23:57:31.641401190,0.00,6.63,99.7,30836696
23:57:34.067288425,0.00,6.72,99.9,30768852
23:57:36.500400252,0.00,6.37,100,31101484
23:57:39.069387111,0.00,6.02,99.4,30830016
23:57:41.581463130,0.00,6.89,100,31350808
23:57:44.433437193,0.00,5.61,100,32006516
23:57:46.864310314,0.00,5.88,99.1,31291176
23:57:49.408284394,0.00,5.95,99.8,30752940
23:57:52.075228438,0.00,6.39,100,30806052
23:57:54.467404379,0.00,6.69,100,30756716
23:57:57.070366827,0.00,6.51,100,31269752
23:57:59.511431427,0.00,5.97,99.8,31740268
23:58:01.726378610,0.00,6.32,98.7,31077556
23:58:03.947523335,0.00,6.75,99.8,30759848
23:58:06.348288289,0.00,6.36,99.7,30944700
23:58:08.809322396,0.00,6.06,100,31069672
23:58:11.295284208,0.00,6.02,99.1,31044012
23:58:13.925323871,0.00,5.59,100,31413552
23:58:16.241690492,0.00,6.19,100,31331880
23:58:18.854320091,0.00,6.21,99.9,31311136
23:58:21.080385058,0.00,6.34,99.9,30801488
23:58:23.604852170,0.00,6.29,100,31564328
23:58:25.991699766,0.00,6.05,100,31706204
23:58:28.298279305,0.00,6.24,100,31546588
23:58:30.671262246,0.00,6.49,100,30851260
23:58:32.841281872,0.00,5.53,98.9,31423440
23:58:35.395798278,0.00,5.88,100,31797572
23:58:37.882988207,0.00,6.07,100,31898388
23:58:40.136285583,0.00,6.27,100,32385676
23:58:42.218274417,0.00,5.83,93.2,31847736
23:58:44.516260118,0.00,5.80,100,31801332
23:58:46.830188358,0.00,5.73,99.9,31779560
23:58:49.055432593,0.00,6.33,99.3,31655616
23:58:51.281397186,0.00,6.04,99.6,31942196
23:58:53.511571264,0.00,6.26,99.3,31370416
23:58:55.702557104,0.00,5.83,98.2,31268660
23:58:58.016342244,0.00,6.43,100,30743180
23:59:00.875437755,0.00,6.55,100,30726300
23:59:03.447550702,0.00,6.26,100,30728640
23:59:05.888360606,0.00,6.28,100,30674132
23:59:08.495332093,0.00,6.23,98.8,30836948
23:59:10.984302216,0.00,6.22,99.1,31172784
23:59:13.688451493,0.00,6.25,99.7,32070876
23:59:16.149226038,0.00,6.29,100,32377908
23:59:18.642330936,0.00,6.31,98.4,32199000
23:59:20.850314866,0.00,6.21,94,31699540
23:59:23.184311640,0.00,6.45,99,31087372
23:59:25.492878649,0.00,6.38,98.9,30738564
23:59:27.801299224,0.00,6.73,100,30738984
23:59:30.313419438,0.00,6.64,100,30723148
23:59:32.930889852,0.00,6.55,100,30876700
23:59:35.512467514,0.00,6.38,100,30721012
23:59:38.138893907,0.00,7.06,100,30720188
23:59:40.859369600,0.00,6.49,99.9,30734912
23:59:43.430343258,0.00,6.80,100,30847968
23:59:45.896429097,0.00,6.37,99.9,30831120
23:59:48.583516964,0.00,6.42,100,30795956
23:59:51.213717113,0.00,6.53,99.3,30883616
23:59:53.694923150,0.00,6.42,100,30908020
23:59:56.339359680,0.00,6.21,99.8,30917948
23:59:58.776497309,0.00,6.50,100,31384388
00:00:01.238883756,0.00,6.09,100,31230368
00:00:03.768339723,0.00,6.19,99.7,31600660
00:00:06.244704152,0.00,6.23,99.8,31360072
00:00:08.705865359,0.00,6.26,99.1,31399272
00:00:10.997427023,0.00,5.76,99.7,31796040
00:00:13.528327672,0.00,5.92,99.9,32482848
00:00:15.726198125,0.00,5.97,97.5,32981760
00:00:18.005877642,0.00,5.83,96.6,33006948
00:00:20.437028292,0.00,6.07,89.3,32697136
00:00:22.685135534,0.00,5.93,100,33210300
00:00:24.974238378,0.00,6.06,91.3,33095320
00:00:27.093518864,0.00,5.89,92.9,33557584
00:00:29.395454043,0.00,5.93,100,34305972
00:00:31.502838280,0.00,4.80,84.3,34674324
00:00:33.834344181,0.00,5.37,99,35337088
00:00:36.180439474,0.00,4.85,93.8,36193692
00:00:38.178764566,0.00,5.03,75.2,35965728
00:00:40.120708039,0.00,5.28,99.1,37270112
00:00:42.358690054,0.00,5.02,85.5,37354292
00:00:44.197206983,0.00,4.97,91.7,38015352
00:00:46.121329159,0.00,4.30,70.8,38253216
00:00:48.061369779,0.00,4.38,51,38121312
00:00:49.965049611,0.00,4.26,84.7,38352084
00:00:51.768472463,0.00,4.30,54.1,37612564
00:00:53.537493647,0.00,4.72,77.5,37597288
00:00:55.422277130,0.00,4.64,62.6,37472092
00:00:57.301396957,0.00,4.98,98.5,37457892
00:00:59.197215358,0.00,4.80,87.2,37807376
00:01:01.168295768,0.00,4.38,55.8,37600976
00:01:03.045695098,0.00,4.44,78.7,37758276
00:01:04.918483893,0.00,4.42,61.9,37392396
00:01:06.813938567,0.00,5.07,73.7,36794644
00:01:08.639769307,0.00,4.95,89.1,36441484
00:01:10.641195224,0.00,4.92,73.6,36309748
00:01:12.611807882,0.00,5.33,99.5,36668112
00:01:14.531568760,0.00,4.60,91.6,37006420
00:01:16.541084190,0.00,4.87,95.6,37411024
