TIME,CORE,RAM,CPU,MEMORY
23:10:53.220342303,0.00,3.21,4.2,43762272
23:10:54.916003639,0.00,3.17,6.3,43619700
23:10:56.578009537,0.00,3.35,46,42156576
23:10:58.277041111,0.00,4.20,51.6,40711908
23:11:00.029880016,0.00,5.06,55.7,39268528
23:11:01.767941166,0.00,5.71,65.6,37674924
23:11:03.609538167,0.00,5.77,72.8,36378580
23:11:05.394349145,0.00,6.38,92.7,34823128
23:11:07.388404936,0.00,6.43,90.7,33279584
23:11:09.556771361,0.00,6.81,96,31744772
23:11:11.773473660,0.00,6.66,99.9,30331228
23:11:14.009418477,0.00,7.04,99.9,30356008
23:11:16.587521203,0.00,7.01,100,30213424
23:11:19.048509946,0.00,7.06,99.6,30198960
23:11:21.568399811,0.00,7.11,99.9,30312652
23:11:24.037632892,0.00,6.97,99.9,30220376
23:11:26.670698834,0.00,7.19,99.7,30184716
23:11:29.542827953,0.00,7.25,100,30224676
23:11:32.203935240,0.00,7.08,99.9,30149456
23:11:34.601735346,0.00,7.34,99.7,30270920
23:11:37.217837821,0.00,7.09,100,29998560
23:11:39.723643560,0.00,7.03,100,30194620
23:11:42.354623937,0.00,7.15,99.6,30013996
23:11:45.048531068,0.00,7.02,100,30112884
23:11:47.513694660,0.00,7.08,100,30166472
23:11:50.098263017,0.00,6.98,100,30237996
23:11:52.474530031,0.00,6.91,97.4,30014048
23:11:54.862694100,0.00,6.98,99.8,30013916
23:11:57.437749355,0.00,7.01,100,29914716
23:11:59.967759964,0.00,7.08,100,30115988
23:12:02.582444012,0.00,7.11,100,29981424
23:12:05.402921956,0.00,7.07,100,30132116
23:12:08.359620237,0.00,7.35,99.6,29820016
23:12:10.929378586,0.00,7.12,100,29899636
23:12:13.588507230,0.00,7.05,100,29843568
23:12:16.191410712,0.00,6.88,100,29812088
23:12:18.967514240,0.00,7.12,100,29918836
23:12:21.829571217,0.00,7.02,100,29951224
23:12:24.152523143,0.00,7.17,100,29871384
23:12:26.751500927,0.00,7.19,100,29997676
23:12:29.291099839,0.00,6.78,99.9,29737292
23:12:31.777553106,0.00,7.02,100,29725820
23:12:34.320544209,0.00,7.05,100,29791044
23:12:36.874511852,0.00,7.00,100,29760756
23:12:39.365749001,0.00,7.19,100,29961764
23:12:41.828414184,0.00,6.60,100,29799956
23:12:44.718597977,0.00,7.01,100,29759816
23:12:47.434426965,0.00,6.97,100,29780540
23:12:50.112477364,0.00,6.98,100,29662900
23:12:52.657592728,0.00,7.16,100,29647888
23:12:55.383503952,0.00,7.08,100,29777124
23:12:58.061701709,0.00,6.98,100,29667696
23:13:00.620411155,0.00,7.29,100,29800732
23:13:03.151387120,0.00,6.97,100,29522292
23:13:05.715842430,0.00,7.01,100,29698284
23:13:08.378708365,0.00,7.20,100,29645152
23:13:11.134666946,0.00,6.99,100,29803100
23:13:13.705563651,0.00,6.96,100,29835356
23:13:16.250696692,0.00,7.25,100,29650424
23:13:18.974681190,0.00,6.96,100,29437944
23:13:21.625588121,0.00,7.47,100,29442300
23:13:24.433722341,0.00,7.38,99.6,29746976
23:13:27.369530688,0.00,6.88,99.9,29534404
23:13:29.995489998,0.00,7.27,100,29657468
23:13:32.633707773,0.00,6.83,100,29625768
23:13:35.241576541,0.00,6.80,100,29402020
23:13:37.950462161,0.00,6.91,100,29514640
23:13:40.469604084,0.00,6.98,100,29438936
23:13:43.120583825,0.00,6.86,100,29477444
23:13:45.750700867,0.00,7.03,100,29311408
