TIME,CORE,RAM,CPU,MEMORY
14:25:01.611277675,0.00,3.14,2.4,43611720
14:25:02.130400207,0.00,3.14,3.5,43562248
14:25:03.239496576,0.00,3.17,3.9,43456636
14:25:03.749431089,0.00,3.18,3.8,43119592
14:25:04.878118810,0.00,3.32,4.3,42676716
14:25:05.402245265,0.00,3.28,32.3,41949568
14:25:06.524167186,0.00,3.73,48.2,40208028
14:25:07.042635933,0.00,4.02,55.8,39499908
14:25:08.216240589,0.00,4.49,60.9,37844632
14:25:08.744600670,0.00,4.74,62.5,37013256
14:25:09.969377456,0.00,4.82,70.3,34950480
14:25:10.573038135,0.00,4.99,78.3,34269904
14:25:11.772801509,0.00,5.19,75.9,32369988
14:25:12.371072788,0.00,5.37,79.2,31612876
14:25:13.639972023,0.00,5.67,88.5,29467280
14:25:14.127109553,0.00,5.76,86.1,29193460
14:25:15.638077446,0.00,6.04,96.1,26961928
14:25:15.981997707,0.00,5.98,94.5,26195812
14:25:17.551587775,0.00,6.45,97.5,24300384
14:25:18.159544923,0.00,6.61,99,23285420
14:25:19.583149188,0.00,6.63,98.8,21925480
14:25:20.179295310,0.00,6.39,99,21729680
14:25:21.840271153,0.00,6.68,99.3,21295268
14:25:22.639543207,0.00,6.66,100,21493636
14:25:24.421269323,0.00,6.77,99.2,21843812
14:25:25.093338180,0.00,6.72,99.9,21468996
14:25:26.804289746,0.00,7.02,100,21325952
14:25:27.434188985,0.00,6.63,99.3,21742000
14:25:29.368025250,0.00,6.65,100,21267952
14:25:29.891286558,0.00,6.73,99.6,21845852
14:25:31.823254906,0.00,7.34,99.7,21482148
14:25:32.426349249,0.00,6.89,99.8,21429100
14:25:34.384357914,0.00,6.84,100,21332292
14:25:34.853300605,0.00,6.77,99.9,21033428
14:25:36.901300462,0.00,6.90,97.3,20967440
14:25:37.347663075,0.00,6.82,98,20922620
14:25:39.179646807,0.00,6.88,99.8,20866484
14:25:39.458418275,0.00,6.84,99.9,20875080
14:25:41.446291675,0.00,7.03,99.9,20980680
14:25:42.049242447,0.00,6.81,99.3,20916408
14:25:43.915189036,0.00,6.89,100,20886016
14:25:44.396162432,0.00,7.03,99.5,20910132
14:25:46.552212071,0.00,6.63,97.1,21582388
14:25:47.115411286,0.00,6.79,98.3,21609068
