TIME,CORE,RAM,CPU,MEMORY
17:45:30.275170138,0.00,3.17,3.5,43579988
17:45:31.958775950,0.00,3.17,5.8,43430628
17:45:33.605389021,0.00,3.33,11,42441288
17:45:35.299642947,0.00,3.25,39.6,41925920
17:45:36.975189468,0.00,3.53,56.1,40840552
17:45:38.685048422,0.00,3.51,57.3,39621324
17:45:40.422916203,0.00,3.28,64.9,38769964
17:45:42.192879748,0.00,3.57,79.8,37881376
17:45:43.930251572,0.00,3.95,62.3,37193396
17:45:45.699428381,0.00,4.40,85.4,36077800
17:45:47.623829211,0.00,4.51,85.9,35438008
17:45:49.478704078,0.00,4.41,91.7,34488248
17:45:51.544160859,0.00,4.47,98.1,33193144
17:45:53.627749104,0.00,4.48,99.6,32769312
17:45:55.728132594,0.00,4.21,99.4,32901320
17:45:58.046061735,0.00,3.92,99.3,32607404
17:46:00.489121645,0.00,3.74,99.5,32631208
17:46:02.947264772,0.00,3.35,99.7,32474424
17:46:05.199375899,0.00,3.51,99.5,32480904
17:46:07.382676780,0.00,3.38,100,32481384
17:46:09.538938312,0.00,3.26,99.4,32481164
17:46:12.036960301,0.00,3.28,99,32491336
17:46:14.069988482,0.00,3.31,99.2,32486740
17:46:16.337006373,0.00,3.34,99.7,32485988
17:46:18.573119202,0.00,3.26,100,32483936
17:46:20.637958453,0.00,3.27,97.7,32483088
17:46:22.739048766,0.00,3.24,100,32480220
17:46:25.132975860,0.00,3.27,97.6,32478904
17:46:27.115724295,0.00,3.26,99.4,32475028
17:46:29.238074158,0.00,3.44,99.4,32436288
17:46:31.697967308,0.00,3.33,98.1,32446464
17:46:34.084927068,0.00,3.27,99.8,32497012
17:46:36.596130421,0.00,3.35,99.4,32363016
17:46:39.348118824,0.00,3.33,98.8,32295856
17:46:41.696329326,0.00,3.31,100,32466412
17:46:43.937350435,0.00,3.29,99.5,32233876
17:46:46.233147728,0.00,3.26,99.4,32232808
17:46:48.764119683,0.00,3.23,99.4,32233792
17:46:51.121919052,0.00,3.23,100,32235676
17:46:53.359960418,0.00,3.31,100,32214324
17:46:55.776970258,0.00,3.23,100,32229032
17:46:58.402962251,0.00,3.22,100,32227356
17:47:00.833956930,0.00,3.27,99.3,32227460
17:47:02.919985682,0.00,3.32,99.7,32221904
17:47:05.235950001,0.00,3.36,100,32224276
17:47:07.730219404,0.00,3.31,100,32217496
17:47:10.076213024,0.00,3.28,99.7,32207016
17:47:12.504067542,0.00,3.24,99.1,32204500
17:47:14.834019497,0.00,3.21,99.7,32205820
17:47:17.112974850,0.00,3.32,100,32200596
17:47:19.628859033,0.00,3.38,100,32183260
17:47:21.937996002,0.00,3.22,100,32208132
17:47:24.289203560,0.00,3.22,100,32205140
17:47:26.418974260,0.00,3.23,100,32204876
17:47:28.805949991,0.00,3.27,100,32204328
17:47:31.189962442,0.00,3.23,100,32200796
17:47:33.661253043,0.00,3.42,99.6,32200784
17:47:36.274182405,0.00,3.44,100,32198496
17:47:38.730984316,0.00,3.32,97.8,32199140
17:47:40.894030691,0.00,3.34,99.8,32174124
17:47:43.389936229,0.00,3.41,100,32184800
17:47:45.919984835,0.00,3.36,100,32106232
17:47:48.263108010,0.00,3.63,99.6,32084620
17:47:50.564222260,0.00,3.84,99.8,32044940
17:47:52.914970786,0.00,3.94,99.6,32155364
17:47:55.541162098,0.00,4.09,99.3,31990304
17:47:58.198925908,0.00,4.06,100,32237172
17:48:00.566175295,0.00,4.12,99.8,31876904
17:48:03.097191778,0.00,3.99,100,31874312
17:48:05.376297782,0.00,4.09,99.9,31866016
17:48:08.148110325,0.00,3.96,100,31863940
17:48:10.534705892,0.00,4.06,100,31866044
