TIME,CORE,RAM,CPU,MEMORY
17:24:47.205791563,0.00,3.15,2.4,43724428
17:24:48.870412696,0.00,3.12,3.6,43231060
17:24:50.540761630,0.00,3.46,43.8,42053956
17:24:52.197739990,0.00,3.57,51.5,40836304
17:24:53.878223119,0.00,3.79,66,39586128
17:24:55.630274175,0.00,4.72,77.4,38533600
17:24:57.438545887,0.00,4.57,96.7,38388288
17:24:59.466122770,0.00,3.90,76.6,37660404
17:25:01.327568136,0.00,3.67,92.1,37286892
17:25:03.331572083,0.00,3.69,82.4,36660036
17:25:05.307380867,0.00,4.16,85.4,35367228
17:25:07.271270104,0.00,4.30,90.7,34354168
17:25:09.268707762,0.00,4.32,95.6,33269936
17:25:11.323177211,0.00,4.25,99.5,32281408
17:25:13.547237941,0.00,4.34,99.8,32267624
17:25:15.885493155,0.00,4.19,98.9,32256048
17:25:18.132068931,0.00,4.11,98.7,32258560
17:25:20.350272311,0.00,4.13,100,32252452
17:25:22.823324076,0.00,4.33,100,32244944
17:25:25.294319771,0.00,4.37,100,32237516
17:25:27.666279881,0.00,4.18,98.6,32232016
17:25:29.879165692,0.00,4.27,100,32223656
17:25:32.284254089,0.00,4.21,100,32214920
17:25:34.727259430,0.00,4.07,100,32203216
17:25:37.146196719,0.00,4.24,99.8,32190912
17:25:39.390020752,0.00,4.21,99.9,32156032
17:25:41.809344422,0.00,4.70,99.9,32330068
17:25:44.130314907,0.00,4.22,100,32509056
17:25:46.742985099,0.00,3.52,99.7,31891220
17:25:49.063566297,0.00,3.37,99.8,31897596
17:25:51.500052736,0.00,3.41,99.1,31882444
17:25:54.002977326,0.00,3.37,100,31893208
17:25:56.337214081,0.00,3.47,100,31887040
17:25:58.665310362,0.00,3.34,99.6,31884900
17:26:00.800066222,0.00,3.42,100,31879604
17:26:03.370119091,0.00,3.32,99.6,31877092
17:26:05.870821397,0.00,3.24,100,31871076
17:26:08.378297691,0.00,3.42,99.7,31861348
17:26:10.913105399,0.00,3.33,100,31853872
17:26:13.227897751,0.00,3.25,99.9,31836516
17:26:15.330087239,0.00,3.34,99.9,31825404
17:26:17.670287156,0.00,3.29,100,31826508
17:26:20.227135419,0.00,3.33,100,31801632
17:26:22.611943188,0.00,3.38,100,31810192
17:26:24.954198448,0.00,3.39,100,31969140
17:26:27.487004511,0.00,3.39,99.6,31783916
17:26:29.757268005,0.00,3.31,99.1,31786504
17:26:32.053051394,0.00,3.42,98.4,31764432
17:26:34.441946499,0.00,3.43,99,31664752
17:26:36.863046896,0.00,3.43,100,31766688
17:26:39.262133833,0.00,3.35,100,31864696
17:26:41.726138570,0.00,3.34,100,31754564
17:26:44.153057526,0.00,3.70,100,31750944
17:26:46.570818692,0.00,3.60,100,31745240
17:26:48.951994055,0.00,3.41,99.9,31742948
17:26:51.274979534,0.00,3.49,99.9,31904896
17:26:53.746201820,0.00,3.52,100,31915624
17:26:56.059165387,0.00,3.70,99.9,31730860
17:26:58.575001491,0.00,3.66,99.9,31740508
17:27:00.886000715,0.00,3.63,99.4,32082484
17:27:03.648024741,0.00,3.89,100,31810288
17:27:06.080047546,0.00,3.29,100,31703104
17:27:08.519214798,0.00,3.36,99.2,31705304
17:27:10.794359713,0.00,3.24,98.7,31883528
17:27:12.836188055,0.00,3.33,99.4,31698888
17:27:15.206261931,0.00,3.38,100,31695440
17:27:17.650078155,0.00,3.52,99.9,31695280
17:27:20.264002961,0.00,3.33,100,31689924
17:27:22.663129110,0.00,3.47,99,31689372
17:27:25.199001959,0.00,3.55,99.9,31681108
17:27:27.624032493,0.00,3.53,99.9,31676164
17:27:30.228148090,0.00,3.50,99.4,31666984
17:27:32.772230271,0.00,3.35,100,31769640
17:27:35.060228625,0.00,3.42,99.7,31653340
17:27:37.550641308,0.00,3.35,99.7,31651340
17:27:39.866049579,0.00,3.67,98.9,31653892
17:27:42.048443483,0.00,3.45,100,31647928
17:27:44.250110199,0.00,3.35,100,31646620
17:27:46.757027367,0.00,3.37,100,31706764
17:27:49.248027384,0.00,3.33,100,31645480
17:27:51.612826817,0.00,3.24,100,31643576
17:27:54.036112455,0.00,3.21,99.7,31641016
17:27:56.421053862,0.00,3.37,100,31638436
17:27:59.085157558,0.00,3.32,100,31628608
17:28:01.734134353,0.00,3.42,99.9,31627900
17:28:03.863080734,0.00,3.31,100,31600016
17:28:06.417732841,0.00,3.37,100,31610080
17:28:08.755006849,0.00,3.39,100,31620756
17:28:11.362060893,0.00,3.36,100,31615144
17:28:13.836040162,0.00,3.36,100,31598764
17:28:16.242125039,0.00,3.30,99.9,31497168
17:28:18.583176936,0.00,3.34,100,31740600
17:28:21.108566527,0.00,3.34,100,31601292
17:28:23.585139701,0.00,3.39,100,31601660
17:28:25.854112787,0.00,3.38,100,31594456
17:28:28.396121605,0.00,3.61,99.7,31592876
17:28:30.807746693,0.00,3.41,98.4,31587652
17:28:33.300336831,0.00,3.51,98.2,31586444
17:28:35.663244627,0.00,3.43,100,31633564
17:28:38.116255817,0.00,3.40,100,31566712
17:28:40.490046497,0.00,3.46,100,31563968
17:28:43.031084835,0.00,3.49,100,31640780
17:28:45.606994276,0.00,3.25,100,31553380
17:28:47.972118662,0.00,3.25,100,31563692
17:28:50.321285550,0.00,3.28,99.9,31580952
17:28:52.724088596,0.00,3.39,99.9,31542084
17:28:55.270022951,0.00,3.38,100,31601936
17:28:57.773129046,0.00,3.32,99.9,31621732
17:29:00.174044053,0.00,3.39,100,31475112
17:29:02.706207962,0.00,3.62,100,31374252
17:29:05.055241478,0.00,3.57,99.7,31858664
17:29:07.388069478,0.00,3.70,100,31922508
17:29:10.159091073,0.00,3.47,99.9,31293888
17:29:12.427115731,0.00,3.41,100,31344084
17:29:14.824412881,0.00,3.49,100,31274412
17:29:17.289073333,0.00,3.46,99.8,31137368
17:29:19.901393243,0.00,3.72,100,31138960
17:29:22.397087666,0.00,3.74,100,31198232
17:29:24.982222310,0.00,3.80,100,31237832
17:29:27.488194841,0.00,4.15,100,31117812
17:29:29.824256272,0.00,3.95,100,31118872
17:29:32.201283443,0.00,4.00,100,31119272
17:29:34.546509983,0.00,3.95,100,31119308
