TIME,CORE,RAM,CPU,MEMORY
17:44:47.439774303,0.00,3.17,4.6,54148916
17:44:49.065140156,0.00,3.20,5.6,53941792
17:44:50.690851746,0.00,3.37,33.4,52235208
17:44:52.392822659,0.00,4.18,40.1,49873260
17:44:54.074897787,0.00,4.64,44.6,47420856
17:44:55.820023488,0.00,4.74,26.6,46655400
17:44:57.514526905,0.00,4.83,25.7,46500324
17:44:59.200445728,0.00,4.71,25.5,46413172
17:45:00.881700845,0.00,4.82,26.7,46636268
17:45:02.570939314,0.00,4.82,25.3,46431008
17:45:04.273116157,0.00,4.82,25.2,46355832
17:45:05.998370958,0.00,4.73,26.8,46644348
17:45:07.681766384,0.00,4.86,25.9,46331784
17:45:09.369894223,0.00,4.85,25.2,46348100
17:45:11.061061161,0.00,4.90,26.4,46449152
17:45:12.739977694,0.00,4.99,25.8,46510276
17:45:14.417203195,0.00,4.95,27.1,46441856
17:45:16.211861667,0.00,5.10,64.2,46293460
17:45:17.930737918,0.00,4.83,29,46294652
17:45:19.640056145,0.00,4.91,27.3,46186324
17:45:21.331062561,0.00,4.79,25.3,46198340
17:45:23.013043270,0.00,4.80,26.7,46347244
17:45:24.690204546,0.00,4.89,25.7,46458744
17:45:26.376013102,0.00,4.82,25.2,46449052
17:45:28.053480818,0.00,4.70,28.8,46402024
17:45:29.754295649,0.00,4.85,26.2,46454768
17:45:31.440486393,0.00,4.73,25.3,46239264
17:45:33.117347579,0.00,4.87,26.1,46489580
17:45:34.801081242,0.00,4.97,74.4,46411556
17:45:36.515391239,0.00,5.01,32.9,46622480
17:45:38.229457511,0.00,4.73,25.1,46639300
17:45:39.955180573,0.00,4.85,26.9,46282136
17:45:41.646800114,0.00,4.87,27.4,46344376
17:45:43.360734877,0.00,4.85,27.1,46375748
17:45:45.062314145,0.00,5.23,54.5,46465532
17:45:46.803331687,0.00,4.98,28.4,46355156
17:45:48.489143196,0.00,4.97,25.3,46346116
17:45:50.177872548,0.00,5.14,46.6,46413460
17:45:51.930375690,0.00,5.04,26.7,46012704
17:45:53.702425189,0.00,4.89,25.7,46161268
17:45:55.382095733,0.00,4.99,25.2,46359856
17:45:57.072028149,0.00,4.82,25.6,46105476
17:45:58.870009921,0.00,4.94,65.7,46192736
17:46:00.579719779,0.00,4.90,25.1,46162244
17:46:02.257799576,0.00,4.99,25.5,46123016
17:46:03.965994297,0.00,5.08,26.9,46276956
17:46:05.699278984,0.00,4.93,25.7,46090356
17:46:07.389166472,0.00,4.91,25.9,45971552
17:46:09.087118596,0.00,4.97,43.8,46208048
17:46:10.803551076,0.00,5.14,55.4,45901348
17:46:12.515475490,0.00,5.01,27.2,45972728
17:46:14.196197027,0.00,4.95,27.5,45956276
17:46:15.884170592,0.00,4.93,26.8,45985260
17:46:17.565323726,0.00,5.20,74,46173416
17:46:19.272291080,0.00,5.00,25.3,46090320
17:46:20.958424210,0.00,4.71,26.8,46005180
17:46:22.650451830,0.00,4.92,25.3,45775968
17:46:24.328957959,0.00,4.71,26.5,46289128
17:46:26.042873350,0.00,5.24,35.9,45853660
17:46:27.783662378,0.00,4.70,26.3,46370908
17:46:29.474051930,0.00,4.92,25.3,46156704
17:46:31.178770718,0.00,4.72,25.5,46053504
17:46:32.861646500,0.00,4.88,26.7,46133192
17:46:34.537748603,0.00,4.87,25.3,45939780
17:46:36.220051910,0.00,4.97,27.2,46227068
17:46:37.924934154,0.00,5.24,55.6,46425856
17:46:39.663838113,0.00,5.20,32,46554120
17:46:41.438857925,0.00,5.47,87.5,46515096
17:46:43.232375516,0.00,5.23,25.2,46480928
17:46:44.912078860,0.00,5.03,26.8,46945616
17:46:46.589696083,0.00,5.18,39.6,46553888
17:46:48.279867031,0.00,5.49,36,46515468
17:46:50.089824294,0.00,5.19,26.1,46138752
17:46:51.788894986,0.00,5.42,43.5,46098260
17:46:53.516183143,0.00,5.33,49.2,45905892
17:46:55.229038584,0.00,5.01,25.2,45670776
17:46:56.907441203,0.00,4.88,37.4,45858624
17:46:58.619100464,0.00,5.35,52.4,45683764
17:47:00.351074912,0.00,4.80,25.2,45756716
17:47:02.034902679,0.00,5.00,26.5,45717332
17:47:03.732517644,0.00,4.91,73,45667896
17:47:05.447722741,0.00,4.97,27,45532168
17:47:07.167285855,0.00,4.74,27.4,45522896
17:47:08.862025420,0.00,4.85,28.8,45774260
17:47:10.553032103,0.00,4.83,25.6,45573776
17:47:12.239754914,0.00,4.78,25.3,45540236
17:47:13.920978739,0.00,4.82,26.9,45541396
17:47:15.598710916,0.00,4.77,25.3,45888024
17:47:17.280590160,0.00,4.86,25.2,45666588
17:47:18.961910069,0.00,4.75,26.9,45949608
17:47:20.639475202,0.00,5.06,25.4,45826848
17:47:22.326725932,0.00,5.12,73.2,46046908
17:47:24.033011955,0.00,5.14,26.7,46110500
17:47:25.720103867,0.00,4.99,26.1,45832152
17:47:27.439009745,0.00,4.99,25.7,45779252
17:47:29.121450191,0.00,5.00,25.7,45840228
17:47:30.857247526,0.00,5.48,66.6,45837820
17:47:32.685021478,0.00,4.78,27.9,45716968
17:47:34.434097031,0.00,5.07,27.2,45527124
17:47:36.122254622,0.00,4.84,27.9,45813148
