Approach,MAE,MSE,Runtime,criterion,generacion,max_depth,max_features,splitter,stdApproach,stdMAE,stdMSE,stdRuntime
0,100,100,0,mse,0,3,sqrt,best,0,100,100,0
0,100,100,0,friedman_mse,1,10,,best,0,100,100,0
0,100,100,0,mse,4,2,,random,0,100,100,0
0,100,100,0,friedman_mse,3,100,sqrt,best,0,100,100,0
0,100,100,0,friedman_mse,3,2,sqrt,random,0,100,100,0
0,100,100,0,friedman_mse,2,100,sqrt,random,0,100,100,0
0,100,100,0,friedman_mse,2,2,log2,best,0,100,100,0
0,100,100,0,friedman_mse,2,2,sqrt,best,0,100,100,0
0,100,100,0,mse,2,2,log2,best,0,100,100,0
0,100,100,0,mse,2,2,sqrt,best,0,100,100,0
0,100,100,0,mse,1,100,,best,0,100,100,0
0,100,100,0,mse,1,100,sqrt,best,0,100,100,0
0,100,100,0,mse,1,10,,random,0,100,100,0
0,100,100,0,mse,1,10,,best,0,100,100,0
0,100,100,0,friedman_mse,0,3,,best,0,100,100,0
0,100,100,0,mse,1,10,log2,best,0,100,100,0
0,100,100,0,friedman_mse,1,2,,best,0,100,100,0
0,100,100,0,mse,1,2,,best,0,100,100,0
0,100,100,0,friedman_mse,0,100,,random,0,100,100,0
0,100,100,0,friedman_mse,0,100,,best,0,100,100,0
0,100,100,0,mse,0,100,log2,best,0,100,100,0
0,100,100,0,mse,0,50,sqrt,random,0,100,100,0
0,100,100,0,friedman_mse,0,50,log2,best,0,100,100,0
0,100,100,0,friedman_mse,0,10,log2,random,0,100,100,0
0,100,100,0,mse,0,10,sqrt,random,0,100,100,0
0,100,100,0,mse,0,3,,random,0,100,100,0
0,100,100,0,mse,4,100,sqrt,random,0,100,100,0
