TIME,CORE,RAM,CPU,MEMORY
08:17:01.489262295,0.00,3.19,4.6,54418668
08:17:03.190156009,0.00,3.16,5.2,54304676
08:17:04.824881964,0.00,3.43,7,53420768
08:17:06.481406875,0.00,3.76,30.8,51972048
08:17:08.159874121,0.00,4.18,36.2,50646324
08:17:09.910438682,0.00,4.60,57.1,49317424
08:17:11.838368022,0.00,4.83,94.4,47711208
08:17:13.774012244,0.00,5.14,96.9,46369404
08:17:15.720218829,0.00,5.26,99.9,44719340
08:17:17.703869041,0.00,5.37,99.5,43580236
08:17:19.814579531,0.00,4.97,93.6,42255532
08:17:22.163174164,0.00,5.17,98.9,41558552
08:17:24.311592505,0.00,4.94,98.8,40542640
08:17:26.424370322,0.00,5.02,99.9,40488348
08:17:28.900228492,0.00,5.38,99.9,40640596
08:17:31.121208420,0.00,4.97,99.6,40581552
08:17:34.106262842,0.00,5.33,96.8,40685104
08:17:36.150152057,0.00,5.06,99.6,40852680
08:17:38.734654528,0.00,5.30,100,41125028
08:17:41.182544054,0.00,5.07,90.3,41716464
08:17:43.361637745,0.00,4.79,94.2,41494848
08:17:45.453840253,0.00,5.02,99.6,41404412
08:17:47.399803478,0.00,4.89,85.7,41486332
08:17:49.715742895,0.00,4.96,95.7,42176460
08:17:51.909423696,0.00,4.68,99.5,42091904
08:17:54.097271805,0.00,4.71,87.9,42307996
08:17:56.318870500,0.00,4.31,83.9,42899616
08:17:58.334016675,0.00,4.59,80.2,42896032
08:18:00.103900134,0.00,4.65,56.5,42893636
08:18:01.939143687,0.00,4.76,92.5,42976900
08:18:03.765921373,0.00,4.47,60.2,43028856
08:18:05.640482711,0.00,4.57,80.4,42844684
08:18:07.569863496,0.00,4.64,58.4,42852016
08:18:09.321610776,0.00,4.89,87,43229048
08:18:11.341336200,0.00,4.59,57,43139948
08:18:13.133505066,0.00,4.48,100,43185024
08:18:15.272752616,0.00,4.55,59.9,43441972
08:18:17.458518293,0.00,4.34,95.8,43500304
08:18:19.329723065,0.00,4.63,52.3,43437648
08:18:21.251578546,0.00,4.73,95.8,43556940
08:18:23.139818437,0.00,4.65,93.5,43387564
08:18:24.989967756,0.00,4.64,63.5,43382736
08:18:26.793310697,0.00,4.44,54.1,43380144
08:18:28.665344060,0.00,4.36,79.3,43336708
08:18:30.531864453,0.00,4.58,52.5,43326152
08:18:32.351826949,0.00,4.52,54.3,43317684
08:18:34.134379175,0.00,4.90,99.7,43390132
08:18:35.985013476,0.00,4.62,56.2,43403760
08:18:37.744658078,0.00,4.68,56,43429784
08:18:39.574992793,0.00,4.54,55.9,43244008
08:18:41.733880704,0.00,4.41,74.2,43251788
08:18:43.647829495,0.00,4.65,52.7,43265384
08:18:45.404991520,0.00,4.79,90.2,43176544
08:18:47.292957074,0.00,4.49,81,43342332
08:18:49.108858996,0.00,4.90,78.9,43134324
08:18:51.139221719,0.00,4.78,98.3,43150212
08:18:53.044504606,0.00,4.57,87.3,43272356
08:18:54.985662131,0.00,4.44,53.7,43416852
08:18:56.908686174,0.00,4.34,64,43479160
08:18:58.756512386,0.00,4.58,51.5,43528492
08:19:00.500528678,0.00,4.53,55.3,43588440
08:19:02.410267701,0.00,4.59,52.4,43520024
08:19:04.337162456,0.00,4.72,97.5,43845744
08:19:06.161258773,0.00,4.55,81.3,43825672
08:19:07.959037402,0.00,4.54,56.6,43828652
08:19:09.811572676,0.00,4.64,51.5,43813652
08:19:11.686366090,0.00,4.49,71.9,43822648
08:19:13.521095979,0.00,4.64,93.2,43820008
08:19:15.278863892,0.00,4.53,74.5,43819332
08:19:17.057030499,0.00,4.64,89.8,43819000
08:19:18.800693978,0.00,4.47,83.8,43817524
08:19:20.775122605,0.00,4.57,93.4,43818148
08:19:22.600837802,0.00,4.24,96.5,44131648
08:19:24.416349182,0.00,4.14,72.6,44105492
08:19:26.138697265,0.00,4.18,50.8,44388332
08:19:27.833187415,0.00,4.20,45.5,44387468
08:19:29.532079294,0.00,4.15,44,44388480
08:19:31.277979355,0.00,4.09,74.6,44794760
08:19:33.098110578,0.00,4.12,91.7,44590756
08:19:35.001499633,0.00,4.05,54.3,44931064
08:19:36.882096584,0.00,4.10,43.4,44969544
08:19:38.569871215,0.00,4.06,42.1,44982172
08:19:40.369789195,0.00,4.05,39.9,44982416
08:19:42.035295065,0.00,4.11,52.3,44956544
08:19:43.752909764,0.00,4.30,94.1,45297712
08:19:45.495150177,0.00,3.82,37.7,45298824
08:19:47.167662924,0.00,3.90,38.3,45297948
08:19:48.838071597,0.00,3.82,39.2,45297360
08:19:50.526268465,0.00,3.85,50.8,45299344
08:19:52.276516844,0.00,3.88,37.7,45301160
08:19:53.976057653,0.00,3.91,39.6,45299080
08:19:55.647339073,0.00,4.02,37.8,45296696
08:19:57.329402303,0.00,3.82,71.3,45299088
08:19:59.028643561,0.00,3.94,41,45287524
08:20:00.709248290,0.00,3.92,40.8,45282512
08:20:02.499992124,0.00,3.89,39.8,45294416
08:20:04.211532036,0.00,3.71,37.8,45602036
08:20:05.925908403,0.00,4.01,39.3,45768352
08:20:07.664388235,0.00,3.72,35.8,45609224
08:20:09.340632497,0.00,3.62,35.6,45607712
08:20:11.011735925,0.00,3.64,67.4,45922976
08:20:12.685922962,0.00,3.45,44.1,45809284
08:20:14.390178256,0.00,3.43,34.2,45922212
