TIME,CORE,RAM,CPU,MEMORY
21:41:08.926353852,0.00,3.13,2.6,54898044
21:41:10.599594853,0.00,3.15,2.2,54714180
21:41:12.227948507,0.00,3.13,3,53862928
21:41:13.846173015,0.00,3.85,44.4,52032872
21:41:15.511666140,0.00,4.24,76,49609720
21:41:17.237105247,0.00,4.34,71.7,47463012
21:41:18.993379436,0.00,4.77,59.5,44692560
21:41:20.895001018,0.00,4.90,89.1,42452316
21:41:22.738122288,0.00,5.42,93.2,39452348
21:41:25.009252384,0.00,6.21,98.2,37599392
21:41:27.363279608,0.00,5.30,100,35313012
21:41:29.937068887,0.00,6.19,99.8,33961540
21:41:32.477657366,0.00,5.89,100,32254332
21:41:34.915482663,0.00,5.69,100,30384896
21:41:37.441240236,0.00,5.96,100,28565272
21:41:39.890320013,0.00,5.27,100,27372196
21:41:42.518976758,0.00,5.43,100,27153700
21:41:45.535338887,0.00,6.25,99.6,26774596
21:41:47.801173510,0.00,6.19,100,26925744
21:41:50.355321528,0.00,6.12,100,26594768
21:41:53.138263876,0.00,5.37,100,26423660
21:41:56.035772661,0.00,5.97,100,26605240
21:41:58.736766729,0.00,6.06,100,26802052
21:42:01.847311741,0.00,5.74,100,27016808
21:42:04.937155591,0.00,5.78,100,26355548
21:42:08.157363511,0.00,5.77,100,26963336
21:42:10.698257707,0.00,5.82,100,26541672
21:42:13.422236653,0.00,6.62,100,26610112
21:42:16.634277416,0.00,5.71,100,26894836
21:42:19.425318771,0.00,5.43,100,26586852
21:42:22.080148997,0.00,6.18,99.8,26794488
21:42:24.777841046,0.00,6.55,100,26443544
21:42:27.482520859,0.00,5.94,100,26767680
21:42:29.938801153,0.00,5.57,100,26655360
21:42:32.581260576,0.00,6.14,100,27483100
21:42:34.983324402,0.00,6.19,99.2,27649520
21:42:37.443270943,0.00,5.75,98.9,27782572
21:42:39.684334088,0.00,6.14,99.1,27561240
21:42:42.100297607,0.00,6.75,99.4,28111976
21:42:44.473588720,0.00,6.22,98.7,28280168
21:42:46.659362399,0.00,5.99,100,28148380
21:42:49.200298966,0.00,6.20,96.7,28647656
21:42:51.441221567,0.00,6.18,93.8,28605388
21:42:53.375959971,0.00,6.21,93.8,28582784
21:42:55.316882390,0.00,6.12,94,28437548
21:42:57.264209377,0.00,6.12,92,28400476
21:42:59.277691430,0.00,6.17,91.9,28490984
21:43:01.324263551,0.00,6.24,92,28460952
21:43:03.246360839,0.00,6.27,94,28428316
21:43:05.162155388,0.00,6.07,94.4,28403452
21:43:07.181177580,0.00,6.28,96.7,28372768
21:43:09.104885694,0.00,6.33,92,28344072
21:43:10.999367054,0.00,5.89,92.2,28509676
21:43:12.930943854,0.00,5.98,99.5,28673224
21:43:14.929856644,0.00,6.20,92.2,28642860
21:43:16.952045200,0.00,6.34,95.1,28600048
21:43:18.952823986,0.00,6.30,94.3,28566460
21:43:20.904620102,0.00,6.33,94.8,28537216
21:43:22.847936601,0.00,6.27,95.1,28511720
21:43:24.769342877,0.00,6.21,94.9,28465412
21:43:26.810749297,0.00,6.21,95.1,28440652
21:43:28.749165171,0.00,6.21,96.8,28426904
21:43:30.669341549,0.00,6.21,93.3,28397640
21:43:32.591345848,0.00,6.21,92.8,28368952
21:43:34.502808891,0.00,6.14,92.1,28340724
21:43:36.390295489,0.00,6.25,92,28312148
21:43:38.273094237,0.00,6.22,91.9,28283668
21:43:40.190934338,0.00,6.38,92,28235616
21:43:42.097924749,0.00,6.09,97.8,28492192
21:43:44.208868874,0.00,6.16,93.3,28451292
21:43:46.562927975,0.00,6.03,93.2,28421712
21:43:48.598834875,0.00,6.21,95.3,28509472
21:43:50.615394251,0.00,6.14,95.3,28218440
21:43:52.671370920,0.00,5.84,95.5,28311580
21:43:54.721862761,0.00,6.14,95.3,28281512
21:43:56.757501353,0.00,6.08,96.5,28355916
21:43:58.743687020,0.00,5.86,95.4,28333876
21:44:00.649826133,0.00,6.22,93,28319928
21:44:02.580455012,0.00,6.26,97.1,28171400
21:44:04.570669184,0.00,6.07,94.8,28263456
21:44:06.544958725,0.00,6.31,92.5,28234256
21:44:08.470097618,0.00,6.33,92.2,28205456
21:44:10.390158999,0.00,6.38,92.2,28261420
21:44:12.407004415,0.00,6.26,92,28401936
21:44:14.350986862,0.00,6.19,93,28502004
21:44:16.382601927,0.00,6.33,92,28473276
21:44:18.305748512,0.00,6.33,91.9,28442624
21:44:20.240717895,0.00,6.30,93.2,28403908
21:44:22.268248145,0.00,6.31,93.9,28365092
21:44:24.363730691,0.00,6.47,93.8,28336104
21:44:26.343276369,0.00,6.36,94,28296116
21:44:28.266260108,0.00,6.13,93.9,28268056
21:44:30.206413000,0.00,6.34,93.7,28242792
21:44:32.172475810,0.00,6.40,92.9,28219372
21:44:34.134415583,0.00,6.34,92.6,28192044
21:44:36.047202871,0.00,6.34,92,28163924
21:44:37.968515024,0.00,6.23,92.6,28135660
21:44:39.877401212,0.00,6.11,96.1,27737448
21:44:41.863253047,0.00,5.43,98.2,28257060
21:44:43.934407661,0.00,5.84,93.4,28426280
21:44:45.847516175,0.00,6.27,93.4,28399612
21:44:47.750086785,0.00,6.33,94.1,28265456
21:44:49.711465547,0.00,6.17,96.3,28212272
21:44:51.633804493,0.00,6.14,93.2,28306040
21:44:53.578586823,0.00,6.31,94.9,28277696
21:44:55.517208493,0.00,6.25,97.7,28231992
21:44:57.475013375,0.00,6.30,94.2,28228096
21:44:59.410878040,0.00,6.17,94.9,28186464
21:45:01.454730973,0.00,6.26,94,28167944
21:45:03.243343580,0.00,6.14,96.5,28139944
21:45:05.230652621,0.00,6.26,92,28112560
21:45:07.166055044,0.00,6.23,92,28088692
21:45:09.069322742,0.00,6.11,91.9,28066376
21:45:10.970117455,0.00,6.19,92.7,28043760
21:45:12.866737400,0.00,6.18,93.5,28022792
21:45:14.778328386,0.00,5.95,93.5,28187828
21:45:16.712221661,0.00,6.15,94.6,28159788
21:45:18.716265403,0.00,6.09,93.5,28207788
21:45:20.666939710,0.00,5.99,93.4,28304344
21:45:22.689910817,0.00,6.20,93.3,28278444
21:45:24.555548146,0.00,5.69,94.6,28242408
21:45:26.474514424,0.00,6.10,94.4,28212360
21:45:28.515786438,0.00,6.11,94.1,28191792
21:45:30.471268577,0.00,6.10,100,28056792
21:45:32.400187828,0.00,5.88,94.7,28032508
21:45:34.358139830,0.00,6.04,98.1,27982200
21:45:36.408350104,0.00,6.00,94.3,28101056
21:45:38.370606258,0.00,5.99,91.9,27955132
21:45:40.505288011,0.00,5.87,94.8,27814268
21:45:42.481279979,0.00,5.99,95.8,28020516
21:45:44.608164239,0.00,6.02,93.5,27992504
21:45:46.610355856,0.00,6.16,93,27965084
21:45:48.539397680,0.00,6.17,94.6,27818284
21:45:50.503252244,0.00,5.95,96.9,27791388
21:45:52.457511203,0.00,6.07,98.1,28270756
21:45:54.393355581,0.00,6.29,92,28242888
21:45:56.344032241,0.00,6.32,97.1,28205656
21:45:58.256112428,0.00,6.11,95.6,28054940
21:46:00.219818898,0.00,6.21,95.3,28139712
21:46:02.268391225,0.00,6.27,97.1,28118856
21:46:04.188861700,0.00,6.25,94.8,28083856
21:46:06.226511041,0.00,6.32,97.2,28054536
21:46:08.199649241,0.00,6.31,92,28044144
21:46:10.114546060,0.00,6.31,92,28017716
21:46:12.112286613,0.00,6.18,93.4,27986268
21:46:14.153159336,0.00,6.39,97.1,27958504
21:46:16.089392109,0.00,6.28,92,27930448
21:46:17.994538068,0.00,6.26,93.1,27901304
21:46:19.962243326,0.00,6.27,92.6,27876280
21:46:21.849245352,0.00,6.35,93.1,27844400
21:46:23.758888920,0.00,5.91,94.2,28202616
21:46:25.770936949,0.00,6.37,93.2,28173420
21:46:27.758508420,0.00,6.40,94.7,28131384
21:46:29.771273284,0.00,6.32,99.3,28095892
21:46:31.775424016,0.00,6.12,97.9,27956300
21:46:33.723861881,0.00,6.29,95.2,28047488
21:46:35.669345969,0.00,6.34,96.8,28032828
21:46:37.653884831,0.00,6.08,95.4,27865124
21:46:39.745097561,0.00,6.25,95.2,27969420
21:46:41.645787766,0.00,6.27,93,27952468
21:46:43.541697785,0.00,6.30,92.4,27926116
21:46:45.457034776,0.00,6.30,91.9,27897952
21:46:47.372049681,0.00,6.33,92,27871768
21:46:49.247938084,0.00,6.38,91.9,27724240
21:46:51.282734924,0.00,6.23,91.9,27818796
21:46:53.226319213,0.00,6.13,92,27978536
21:46:55.318096494,0.00,6.27,94.2,27949712
21:46:57.249693649,0.00,6.35,91.9,27920576
21:46:59.141418111,0.00,6.22,96.8,28088516
21:47:00.903167229,0.00,6.30,93.8,28051208
21:47:02.964738082,0.00,6.16,95,28028952
21:47:04.963510844,0.00,6.33,97.8,27991304
21:47:06.921725059,0.00,6.36,94.8,27953404
21:47:08.871486209,0.00,6.33,95,27934796
21:47:10.813245265,0.00,6.37,95.3,27907424
21:47:12.881514032,0.00,6.42,93.6,27879948
21:47:14.880789551,0.00,6.16,92.7,27849908
21:47:16.849907402,0.00,6.29,93.2,27819912
21:47:18.801576051,0.00,6.27,93.5,27790112
21:47:20.713126809,0.00,6.33,93.3,27759716
21:47:22.620233568,0.00,6.09,93.1,27924584
21:47:24.538596673,0.00,6.23,92.5,27779256
21:47:26.445810305,0.00,6.30,96.6,27678492
21:47:28.591196476,0.00,5.87,96.7,27591804
21:47:30.632382584,0.00,5.82,94.7,27878112
21:47:32.515042661,0.00,6.13,97.5,27841780
21:47:34.476167513,0.00,6.47,95,27918992
21:47:36.528782585,0.00,6.42,94.6,27886148
21:47:38.446906901,0.00,6.33,93.9,27911816
21:47:40.384999572,0.00,6.24,94,27727444
21:47:42.311242444,0.00,6.19,93.9,27689196
21:47:44.290294327,0.00,6.28,91.8,27793632
21:47:46.320531514,0.00,6.30,92,27766248
21:47:48.256109420,0.00,6.46,92,27737788
21:47:50.254216463,0.00,6.02,92,27591832
21:47:52.114468398,0.00,5.95,93.3,27880980
21:47:54.237027000,0.00,6.36,92.4,27851740
21:47:56.155386938,0.00,6.38,91.9,27822480
21:47:58.057221047,0.00,6.37,92,27793740
21:47:59.978556769,0.00,6.40,92.4,27763808
21:48:01.899821598,0.00,6.29,92.8,28045480
21:48:03.845427715,0.00,6.11,98.8,27878220
21:48:05.864505739,0.00,6.30,94.9,27845004
21:48:08.023325142,0.00,6.27,93.8,27810352
21:48:09.968224117,0.00,6.35,94.3,27781496
21:48:11.905765408,0.00,6.32,95.1,27843060
21:48:13.822211973,0.00,6.43,95.3,27604764
21:48:15.847230703,0.00,6.36,93.2,27693564
21:48:17.886970772,0.00,6.28,92.9,27662728
21:48:19.870252152,0.00,6.26,96.2,27775576
21:48:21.860643931,0.00,6.30,93.4,27788944
21:48:23.816604976,0.00,6.34,96.2,27517368
21:48:25.969861914,0.00,6.11,96.8,27732224
21:48:27.894672905,0.00,6.21,92.9,27704480
21:48:29.825415248,0.00,6.09,92.9,27673220
21:48:31.796395917,0.00,6.25,93.4,27645876
21:48:33.626369467,0.00,6.18,93.1,27933188
21:48:35.550548307,0.00,6.23,94.6,27773412
21:48:37.481133074,0.00,6.21,94.4,27738364
21:48:39.424843342,0.00,6.23,94,27717780
