TIME,CORE,RAM,CPU,MEMORY
22:24:44.658484711,0.00,3.14,2.4,54076656
22:24:46.320993131,0.00,3.13,2.2,53595460
22:24:47.941025953,0.00,3.31,5.7,52598668
22:24:49.602756118,0.00,4.03,74.8,51128812
22:24:51.314751512,0.00,4.40,88.5,49575988
22:24:53.344777564,0.00,4.30,95.6,48310372
22:24:55.647657903,0.00,4.39,98.4,47613184
22:24:57.937521183,0.00,4.23,89.6,46118580
22:24:59.968591098,0.00,4.65,98.9,45549908
22:25:02.064196188,0.00,4.90,97.2,45398392
22:25:03.962795644,0.00,4.58,99.5,45719624
22:25:06.163017834,0.00,4.57,97.1,45986828
22:25:08.199262846,0.00,4.49,90.4,46743520
22:25:10.256291169,0.00,4.24,71.3,46704260
22:25:12.049357940,0.00,4.54,92.6,46543504
22:25:13.805663827,0.00,4.24,76.8,46535316
22:25:15.545538827,0.00,3.97,47.1,46843480
22:25:17.284960490,0.00,4.07,37.1,46874800
22:25:19.129838888,0.00,4.05,34.2,47124676
22:25:20.804004364,0.00,3.98,35,47119348
22:25:22.529763101,0.00,4.07,56,47104056
22:25:24.247141524,0.00,4.04,35.6,47085876
22:25:25.955172103,0.00,3.81,35,47381904
22:25:27.696903475,0.00,3.91,69.7,47259524
22:25:29.411196146,0.00,3.94,99.7,47280844
22:25:31.435337759,0.00,4.07,98.1,47508920
22:25:33.342314310,0.00,3.98,83.3,47630092
22:25:35.176093953,0.00,3.83,67.4,47888656
22:25:36.940249569,0.00,3.94,63,47886652
22:25:38.716574783,0.00,3.86,59.9,47885044
22:25:40.483673219,0.00,3.56,25.1,48193804
22:25:42.209561880,0.00,3.54,25.4,48189396
22:25:43.882474253,0.00,3.53,26.8,48186220
22:25:45.547281517,0.00,3.55,25.2,48185368
22:25:47.206364792,0.00,3.50,59.3,48187972
22:25:48.878739261,0.00,3.48,26.8,48183948
22:25:50.546340622,0.00,3.48,25.1,48241652
22:25:52.229201179,0.00,3.51,27.1,48162724
22:25:53.945287017,0.00,3.57,28.8,48161824
22:25:55.673747315,0.00,3.54,27.2,48145204
22:25:57.351082255,0.00,3.59,27,48137660
22:25:59.012427580,0.00,3.57,26.8,48154816
22:26:00.683503146,0.00,3.56,25.6,48154036
22:26:02.372827295,0.00,3.49,25.2,48151588
22:26:04.043132136,0.00,3.89,61.7,48123772
22:26:05.742095097,0.00,4.16,86.4,48062424
22:26:07.551959998,0.00,3.98,32.9,48109560
22:26:09.358612364,0.00,4.22,63.3,48048532
22:26:11.136264612,0.00,4.42,90,48047932
22:26:12.984171758,0.00,4.11,60.1,48418888
22:26:14.827797909,0.00,3.71,49.2,48355148
22:26:16.539589118,0.00,3.86,34.1,48668176
22:26:18.353752223,0.00,3.45,22.4,48665240
22:26:20.021132327,0.00,3.51,25,48648708
22:26:21.723130494,0.00,3.55,23.7,48658628
22:26:23.413926575,0.00,3.51,22.7,48658680
22:26:25.078970487,0.00,3.57,34.1,48699564
22:26:26.766344840,0.00,3.57,21.9,48641344
22:26:28.430900748,0.00,3.51,21.7,48640756
22:26:30.121517446,0.00,3.57,21.4,48620984
22:26:31.849031396,0.00,3.42,22.4,48618040
22:26:33.512738703,0.00,3.44,21.1,48615220
22:26:35.179182384,0.00,3.41,21.5,48612244
22:26:36.842985154,0.00,3.46,24.4,48674544
22:26:38.527802888,0.00,3.48,43.8,48619820
22:26:40.207840503,0.00,3.52,36.2,48619444
22:26:41.903824034,0.00,3.53,22.7,48616092
22:26:43.565486359,0.00,3.55,21,48613552
22:26:45.232700849,0.00,3.51,22.3,48608604
22:26:46.906938707,0.00,3.53,24.6,48593616
22:26:48.583265314,0.00,3.40,23.4,48607244
22:26:50.272771498,0.00,3.50,22.9,48596612
22:26:51.950826628,0.00,3.55,23.8,48604940
22:26:53.617395965,0.00,3.67,21,48608628
22:26:55.294756118,0.00,3.50,21.1,48608284
22:26:56.960527410,0.00,3.58,22.8,48604888
22:26:58.624631602,0.00,3.61,21.1,48609476
22:27:00.332769147,0.00,3.48,36.9,48514624
22:27:02.061629462,0.00,3.54,22.3,48609372
22:27:03.725725920,0.00,3.56,21.9,48598344
22:27:05.414916305,0.00,3.84,45.5,48597580
22:27:07.102798865,0.00,3.60,21.5,48592732
22:27:08.832215783,0.00,3.60,22.4,48590768
22:27:10.508335341,0.00,3.47,21.1,48588584
22:27:12.175469586,0.00,3.54,23.4,48586632
22:27:13.852361368,0.00,3.53,24.7,48571904
22:27:15.546296606,0.00,3.50,23,48571772
22:27:17.220415851,0.00,3.56,23,48566440
22:27:18.889664026,0.00,3.57,50.9,48902464
22:27:20.580276797,0.00,3.32,19,48898744
22:27:22.260117716,0.00,3.32,18.9,48929768
22:27:23.950104866,0.00,3.65,20.7,48902240
22:27:25.648191846,0.00,3.90,49.9,48836720
22:27:27.333884619,0.00,3.79,51.4,48836732
22:27:29.102631333,0.00,3.83,48,48839688
22:27:30.864955204,0.00,3.88,56.5,48838092
22:27:32.565933328,0.00,3.44,16.9,49151444
22:27:34.261154872,0.00,3.36,16.8,49149356
22:27:35.926351422,0.00,3.32,18.5,49151104
22:27:37.600657736,0.00,3.49,16.9,49150376
22:27:39.276257456,0.00,3.35,18.5,49135524
22:27:40.951652315,0.00,3.51,20.6,49145472
22:27:42.657910562,0.00,3.43,18.8,49131116
22:27:44.333656363,0.00,3.42,60.1,49135380
22:27:46.009862300,0.00,3.38,18.8,49144624
22:27:47.674209541,0.00,3.28,17,49147076
22:27:49.334932826,0.00,3.37,16.9,49145760
22:27:51.006565894,0.00,3.39,18.5,49148000
22:27:52.676710446,0.00,3.44,17.7,49145264
22:27:54.427460621,0.00,3.42,16.8,49144788
22:27:56.089595445,0.00,3.37,56.2,49145200
22:27:57.758850534,0.00,3.36,17.7,49139380
22:27:59.425472723,0.00,3.33,16.8,49136440
22:28:01.094495741,0.00,3.45,17.7,49138680
22:28:02.789203827,0.00,3.31,17.8,49138508
22:28:04.463616575,0.00,3.65,16.8,49144840
22:28:06.169029795,0.00,3.46,19.2,49145696
22:28:07.850909762,0.00,3.35,20.3,49133364
22:28:09.540756560,0.00,3.39,18.6,49119388
22:28:11.220238373,0.00,3.30,18.8,49113424
22:28:12.890608104,0.00,3.38,18.6,49135984
22:28:14.560361082,0.00,3.36,16.9,49136504
22:28:16.223642532,0.00,3.38,17.1,49137436
22:28:17.882692900,0.00,3.32,18.4,49140112
22:28:19.550094243,0.00,3.36,16.8,49140088
22:28:21.226711851,0.00,3.35,64.9,49146120
22:28:22.913574737,0.00,3.33,18.5,49143160
22:28:24.583902047,0.00,3.40,16.9,49140856
22:28:26.248228632,0.00,3.34,16.9,49139672
22:28:27.926199043,0.00,3.38,18.4,49144244
22:28:29.648504696,0.00,3.34,16.9,49142052
22:28:31.319336884,0.00,3.37,16.8,49139184
22:28:32.982814327,0.00,3.33,20.3,49138920
22:28:34.651802299,0.00,3.36,18.9,49138264
22:28:36.332815349,0.00,3.41,18.8,49115908
22:28:38.005909614,0.00,3.46,20.3,49117612
22:28:39.694060537,0.00,3.35,17.2,49131676
22:28:41.371786416,0.00,3.43,47.8,49443180
22:28:43.041947534,0.00,3.25,16.3,49445044
22:28:44.697264552,0.00,3.26,15.1,49445068
22:28:46.349849018,0.00,3.23,14.8,49444476
22:28:48.006921986,0.00,3.26,36.6,49759652
22:28:49.683935305,0.00,3.18,13,49759624
22:28:51.339516901,0.00,3.17,12.7,49758724
22:28:52.983935318,0.00,3.12,14.4,49762024
22:28:54.631200167,0.00,3.13,12.6,49761328
22:28:56.283243976,0.00,3.17,12.6,49760464
22:28:57.942725905,0.00,3.14,14.4,49761500
22:28:59.599750793,0.00,3.18,14.2,49753100
22:29:01.266095543,0.00,3.19,14.5,49740912
22:29:02.937568855,0.00,3.50,16.4,49759244
22:29:04.616054247,0.00,3.18,14.3,49751060
22:29:06.275316129,0.00,3.18,13.5,49757548
22:29:07.926660153,0.00,3.16,14.3,49758316
22:29:09.580051428,0.00,3.16,12.7,49758708
22:29:11.238405717,0.00,3.13,12.8,49759948
22:29:12.896820061,0.00,3.16,14.3,49760648
22:29:14.548420484,0.00,3.14,12.7,49761900
22:29:16.200844414,0.00,3.18,37.6,49765296
22:29:17.858704402,0.00,3.15,14.1,49764692
22:29:19.509772096,0.00,3.20,53.8,49764828
22:29:21.170459540,0.00,3.16,13.2,49762708
22:29:22.838936797,0.00,3.14,14.1,49761444
22:29:24.508792539,0.00,3.13,12.7,49761172
22:29:26.166863912,0.00,3.11,13.6,49747080
22:29:27.836567420,0.00,3.15,16.1,49753532
